state,stateAbbr,population,index,violent,murder,rape,robbery,aggrate,property,burglary,larceny,gta
Alabama,AL,3690000,3712.6,414.4,14.2,25.2,96.8,278.3,3298.2,1135.5,1881.9,280.7
Alaska,AK,407000,5898,443.2,10.8,51.6,96.8,284,5454.8,1331.7,3369.8,753.3
Arizona,AZ,2296000,7747.2,494.2,9.5,34.2,138.2,312.3,7253,2346.1,4467.4,439.5
Arkansas,AR,2144000,3341.1,322.9,8.8,27.6,83.2,203.4,3018.1,972.6,1862.1,183.4
California,CA,21896000,7008.7,706,11.5,49.4,287,358,6302.7,2139.4,3499.8,663.5
Colorado,CO,2619000,6827.5,511.9,6.3,42,170.7,292.9,6315.6,1935.2,3903.2,477.1
Connecticut,CT,3108000,4842.1,282.3,4.2,16.8,129.5,131.8,4559.8,1346,2620.7,593.2
Delaware,DE,582000,6210.1,382.1,6,24.9,157,194.2,5828,1682.6,3678.4,467
District Of Columbia,DC,690000,7220.4,1426.5,27.8,58.3,964.5,375.9,5793.9,1679.7,3716.8,397.4
Florida,FL,8452000,6738.6,686.8,10.2,39.6,187.9,449.1,6051.8,1859.9,3840.5,351.4
Georgia,GA,5048000,4259.1,439.8,11.7,31.1,140.5,256.5,3819.2,1351.1,2170.2,297.9
Hawaii,HI,895000,6546.1,224.8,7.2,25.5,128,64.1,6321.3,1911.5,3920.4,489.4
Idaho,ID,857000,4124.9,236.9,5.5,19.4,39.6,172.5,3888,1050.8,2599.6,237.6
Illinois,IL,11245000,5327.7,630.6,9.9,26.1,280.3,314.3,4697.1,1257,2828.5,611.7
Indiana,IN,5330000,4272.9,310.6,7.4,26.5,123.2,153.5,3962.3,1086.2,2498.7,377.4
Iowa,IA,2879000,3861.5,144,2.3,10.6,41.2,89.8,3717.5,812.5,2685.1,219.9
Kansas,KS,2326000,4563.8,309.8,6.6,22,100.7,180.5,4254,1270.4,2739.3,244.3
Kentucky,KY,3458000,3013.3,233.6,10.1,19.1,81.1,123.3,2779.8,872.2,1662.1,245.4
Louisiana,LA,3921000,4497.9,524.8,15.5,30.9,142.9,335.5,3973.1,1165.5,2469.9,337.7
Maine,ME,1085000,4075.4,224.7,2.4,13.5,38.7,170,3850.7,1253.1,2350.7,246.9
Maryland,MD,4139000,5700,693.8,8,34.8,292.1,358.9,5006.2,1400,3177.7,428.5
Massachusetts,MA,5782000,5409,425.3,3.1,20.8,169.9,231.6,4983.7,1532.2,2311.3,1140.1
Michigan,MI,9129000,5812,584.7,9.3,38.9,261.9,274.6,5227.3,1522.7,3159,545.5
Minnesota,MN,3975000,4230.8,193.8,2.7,19.5,85.9,85.8,4037,1134.7,2559.3,343.1
Mississippi,MS,2389000,2588.6,288.7,14.3,19.6,65.7,189.1,2299.9,915.6,1239.9,144.4
Missouri,MO,4801000,4581.3,460.4,9.6,28.3,189,233.5,4120.8,1318.3,2424.2,378.4
Montana,MT,761000,4105.3,218,5.4,16.7,39.2,156.8,3887.3,804.9,2773.2,309.2
Nebraska,NE,1561000,3524.6,199.4,3.9,18.1,64.7,112.7,3325.2,760,2316.1,249.1
Nevada,NV,633000,7967.9,743,15.8,49.1,323.1,355,7225,2453.1,4212.6,559.2
New Hampshire,NH,849000,3792.1,113.1,3.2,10.7,23.2,76,3679,1041.7,2343.9,293.4
New Jersey,NJ,7329000,5113.9,392,5.6,21,180.4,185.1,4721.8,1435.8,2774.5,511.5
New Mexico,NM,1190000,5187.6,500.9,8.8,39.1,109.6,343.4,4686.7,1418.7,3008.6,259.5
New York,NY,17924000,6087.6,831.8,10.7,29.4,472.6,319.1,5255.8,1728,2782,745.8
North Carolina,NC,5525000,3791.1,407.1,10.6,17,61.3,318.3,3384,1154.1,2037.8,192.1
North Dakota,ND,653000,2500.9,67.1,0.9,9,13.3,43.8,2433.8,446.1,1843,144.7
Ohio,OH,10701000,4719.9,406.7,7.8,27.3,190.5,181.1,4313.2,1216,2696.8,400.4
Oklahoma,OK,2811000,4159.6,316.6,8.6,29.2,73.8,205,3843,1288.2,2228.1,326.8
Oregon,OR,2376000,5987.2,455.8,4.9,39.9,124.1,286.9,5531.4,1636.4,3506.1,388.9
Pennsylvania,PA,11785000,3117.5,282.8,5.6,19,130.3,128,2834.7,877.5,1624.1,333.2
Rhode Island,RI,935000,5426.6,301.6,3.6,10.5,86.5,201,5125,1489.5,2844.1,791.4
South Carolina,SC,2876000,4837.3,636.2,11.9,33,105.9,485.3,4201.1,1613.6,2342.4,245.1
South Dakota,SD,689000,2611.5,189.1,2,13.5,17.9,155.7,2422.4,570.5,1704.4,147.5
Tennessee,TN,4299000,3972.3,389.5,10.1,29.7,145.8,203.9,3582.8,1492.3,1776.5,314
Texas,TX,12830000,5397.1,407.7,13.3,33.8,152.4,208.2,4989.4,1603.1,2988.7,397.6
Utah,UT,1268000,4750.6,240,3.5,20.3,68.8,147.3,4510.6,1171.6,3004.6,334.5
Vermont,VT,483000,3964,149.5,1.4,15.9,30.8,101.2,3814.5,1348.2,2201,265.2
Virginia,VA,5135000,4024.1,290,9,23.3,92.1,165.7,3734,986.2,2521.2,226.7
Washington,WA,3658000,5727.7,374.9,4.3,39.6,106.2,224.8,5352.8,1605.6,3386.9,360.3
West Virginia,WV,1859000,2254.7,152.3,6,13.2,42.2,90.9,2102.4,597.4,1341.7,163.3
Wisconsin,WI,4651000,3813.4,131.5,2.8,12.9,52.2,63.7,3681.9,846.9,2614.2,220.7
Wyoming,WY,406000,4106.7,240.9,5.4,21.9,39.7,173.9,3865.8,811.6,2772.2,282
