state,stateAbbr,population,index,violent,murder,rape,robbery,aggrate,property,burglary,larceny,gta
Alabama,AL,3407000,1571.8,213.1,9.3,11.7,29.1,163,1358.7,466.6,784.1,108
Alaska,AK,250000,2166,150,10.4,22.4,21.2,96,2016,443.6,1218.4,354
Arizona,AZ,1581000,3645.3,213,5.2,16.4,61.2,130.2,3432.3,868.2,2225.8,338.3
Arkansas,AR,1933000,1359.2,136.6,7.6,8.1,29.2,91.7,1222.6,369.1,756.4,97.1
California,CA,18084000,4139.9,265.6,4.1,20,103.2,138.2,3874.3,1088.7,2366.5,419.1
Colorado,CO,1966000,2728.7,158.6,4.2,17.1,67.3,70.1,2570.1,679.9,1619,271.2
Connecticut,CT,2766000,1806.1,64.1,1.8,5.5,15,41.9,1742,531.9,1003.4,206.7
Delaware,DE,491000,2513.6,110.2,4.7,8.1,41.3,56,2403.5,674.7,1468.6,260.1
District Of Columbia,DC,808000,3754.2,632.7,16.3,11.9,282.1,322.4,3121.5,1102.7,1351.5,667.3
Florida,FL,5705000,3358.1,289.9,8.6,10.3,86.9,184.1,3068.2,963.3,1898.5,206.4
Georgia,GA,4294000,1837.3,192.9,11.7,12.3,33.7,135.3,1644.4,528.8,883.9,231.7
Hawaii,HI,701000,2790.2,82,2.1,2.6,13.6,63.8,2708.1,838.8,1612.1,257.2
Idaho,ID,692000,1949.7,77.6,4,5.9,10.3,57.4,1872.1,330.2,1445.1,96.8
Illinois,IL,10489000,2685.4,351.9,5.5,15,182.3,149.2,2333.4,547.4,1380.3,405.7
Indiana,IN,4825000,2183.3,136,3,10.5,58.1,64.5,2047.2,534.7,1287,225.6
Iowa,IA,2756000,1356.4,36.5,1.3,5,11.2,19,1319.9,290.4,933.7,95.8
Kansas,KS,2225000,1973.8,115.6,3.4,11.1,28,73.2,1858.2,432.6,1286,139.6
Kentucky,KY,3159000,1583.2,110.4,5.2,8,36.1,61,1472.8,461.3,868.3,143.3
Louisiana,LA,3468000,1820.8,205.9,8.3,11.1,53.3,133.2,1614.9,482.4,901.6,230.9
Maine,ME,989000,1402.1,51.2,1.5,7.8,7.6,34.3,1351,372.9,866.8,111.2
Maryland,MD,3432000,2386.9,217,6.7,10.1,59.5,140.7,2170,545.9,1354.1,270
Massachusetts,MA,5338000,1987.6,85.4,2,6,30.6,46.8,1902.2,529.7,920.4,452.1
Michigan,MI,8098000,3189.2,261.2,3.5,19.8,113.1,124.9,2928,789.8,1875.9,262.3
Minnesota,MN,3521000,1999.4,73.9,1.4,4.5,36.5,31.5,1925.5,534.9,1209.3,181.3
Mississippi,MS,2314000,946.6,178,10.1,9.4,20.6,137.9,768.6,266.1,447.7,54.9
Missouri,MO,4409000,2903.4,216.7,5.4,15,89.7,106.5,2686.7,749.6,1677.5,259.5
Montana,MT,705000,2103.1,80,2.7,7.5,15.6,54.2,2023.1,472.1,1350.2,200.9
Nebraska,NE,1480000,1601.7,52.4,2.3,5.7,20.7,23.7,1549.3,326.5,1074,148.8
Nevada,NV,408000,4255.9,240.9,7.8,13.2,109.8,110,4015,1082.4,2415.7,516.9
New Hampshire,NH,654000,966.7,22.8,0.9,3.8,6.6,11.5,943.9,279.4,580.6,83.9
New Jersey,NJ,6682000,2059.2,156.5,3.1,9.1,57,87.2,1902.7,600.8,1018.7,283.2
New Mexico,NM,1008000,2670.2,160,5.6,12.3,47.2,94.9,2510.2,672.8,1598,239.4
New York,NY,0,0,0,0,0,0,0,0,0,0,0
North Carolina,NC,4852000,1499.2,254.4,8,9.6,22.7,214.2,1244.8,399.2,732.8,112.8
North Dakota,ND,645000,1092.4,35.5,0.9,7,8.7,18.9,1056.9,239.7,726.7,90.5
Ohio,OH,10100000,1969.7,114.7,3.5,7.1,46.2,57.9,1855,466.3,1205.2,183.4
Oklahoma,OK,2465000,2164.4,146.4,4.5,10.9,42.8,88.2,2018,600.1,1217,200.8
Oregon,OR,1871000,2535.4,107.4,1.8,12,37.6,56,2428.1,573.3,1646.8,207.9
Pennsylvania,PA,11459000,1368.2,123.6,3.4,9.3,44.6,66.4,1244.6,386,671.8,186.7
Rhode Island,RI,914000,2358.5,63.2,1.2,2.7,17.7,41.6,2295.3,643.3,1329.9,322.1
South Carolina,SC,2555000,2052.4,165.9,8.1,10.6,25.8,121.5,1886.5,621.3,1095.2,170
South Dakota,SD,715000,1219.3,57.1,1.3,5.5,8.3,42.1,1162.2,261.5,816.4,84.3
Tennessee,TN,3798000,1571.6,118.6,5.9,8.8,30.2,73.6,1452.9,561.4,715.8,175.8
Texas,TX,10397000,2507.5,190.1,7.6,11.3,43.1,128.2,2317.3,655.7,1459.4,202.2
Utah,UT,992000,2523.9,89.5,1.5,10.1,26.5,51.4,2434.4,527.5,1704.2,202.6
Vermont,VT,409000,862.3,21.8,0.5,5.9,3.2,12.2,840.6,260.1,481.2,99.3
Virginia,VA,4378000,2187.1,241.2,8.4,11.6,34.7,186.6,1945.9,538,1249.7,158.2
Washington,WA,2984000,2729.1,92.5,2.4,7.7,28.5,54,2636.6,600.3,1843.5,192.7
West Virginia,WV,1797000,832.6,75.6,3.7,5,16.9,50.1,757,268.1,410.4,78.5
Wisconsin,WI,4107000,1585.3,42.9,1.5,3,11,27.4,1542.4,285.5,1114.1,142.9
Wyoming,WY,343000,1911.7,83.1,5.5,10.2,13.4,53.9,1828.6,379.3,1330,119.2
