state,stateAbbr,population,index,violent,murder,rape,robbery,aggrate,property,burglary,larceny,gta
Alabama,AL,3531000,2126.6,250.4,13.7,14,41,181.7,1876.2,667.2,1037.8,171.2
Alaska,AK,282000,3880.1,221.3,10.6,29.4,67.4,113.8,3658.9,870.6,2196.8,591.5
Arizona,AZ,1693000,5224.6,339.2,6,23,99.9,210.2,4885.4,1302.6,3144.2,438.6
Arkansas,AR,1995000,2188.5,220.1,9.9,17.4,44.4,148.4,1968.5,651.1,1206.5,110.9
California,CA,19443000,6099.7,462.3,7.1,36.3,201.8,217,5637.4,1676.1,3282.7,678.6
Colorado,CO,2100000,4498.2,298.8,5.3,28.8,110.7,154,4199.4,1133.2,2559.2,507
Connecticut,CT,3000000,3225.5,147.2,2.9,8.7,56.5,79.1,3078.3,987.5,1663,427.8
Delaware,DE,540000,3501.7,294.1,8,13.7,117.6,154.8,3207.6,877.2,1859.8,470.6
District Of Columbia,DC,798000,10406,2135.1,36,97.2,1549.6,452.3,8270.9,2869.9,3998.7,1402.3
Florida,FL,6354000,4742.5,462.9,11.3,21.2,162.8,267.5,4279.7,1358.3,2538.4,382.9
Georgia,GA,4641000,2399.5,242.1,11.9,17.1,62.4,150.7,2157.4,701.5,1182.9,273
Hawaii,HI,794000,4532.9,86.1,3.4,12.2,35.5,35,4446.7,1304.8,2606,535.9
Idaho,ID,718000,2728.3,112.3,1.9,10,16.7,83.6,2616,590,1894.6,131.5
Illinois,IL,11047000,3468.5,448.5,8.6,19.1,236.7,184,3020,738.7,1806.8,474.5
Indiana,IN,5118000,3089.4,198.1,5,16.9,93.6,82.7,2891.2,819,1677.8,394.5
Iowa,IA,2781000,2252.5,69,1.4,6.4,22.4,38.8,2183.5,489.1,1516.9,177.5
Kansas,KS,2321000,3138,166.9,3.5,15.1,54.8,93.5,2971.2,693.3,2049.9,228
Kentucky,KY,3232000,2164.9,177.8,10.4,11.4,69.2,86.7,1987.1,569.3,1072,345.9
Louisiana,LA,3745000,2752.1,360.3,9.5,22.1,102.6,226,2391.8,694.6,1373.1,324.2
Maine,ME,978000,1941.2,74.9,1.6,5.9,11.3,56,1866.3,580,1142.7,143.6
Maryland,MD,3765000,4573.3,645.3,9.3,29.9,294.4,311.7,3928,1114.7,2220.7,592.6
Massachusetts,MA,5467000,3478.6,187.9,3.5,10.8,90.6,82.9,3290.7,1032.6,1399.3,858.8
Michigan,MI,8766000,4804.2,502.5,8.8,32.3,265.1,196.3,4301.7,1315.5,2485,501.2
Minnesota,MN,3700000,3076.6,142,1.9,11.5,81.5,47.1,2934.7,779.4,1771,384.3
Mississippi,MS,2363000,1094.6,141.9,8.1,9.1,14.6,110.1,952.6,316.5,563.3,72.9
Missouri,MO,4651000,4179.2,392.6,10.4,27.3,182.4,172.5,3786.6,1118.8,2089.2,578.5
Montana,MT,694000,2689.6,98.3,3.6,11.1,22.2,61.4,2591.4,561.8,1813.7,215.9
Nebraska,NE,1449000,2451.3,158.9,2.5,6.8,51.8,97.8,2292.4,482.3,1525.6,284.5
Nevada,NV,457000,5145.7,359.3,9,20.6,170.9,158.9,4786.4,1366.5,2859.7,560.2
New Hampshire,NH,717000,1510.6,45.3,2.5,4,10.5,28.3,1465.3,463.3,858.7,143.2
New Jersey,NJ,7148000,3230.7,241,5.2,12.8,135.1,87.9,2989.7,953,1515.6,521
New Mexico,NM,994000,4512.5,289.8,6.3,25.1,65.1,193.4,4222.6,1230.8,2577.7,414.2
New York,NY,18321000,4569.7,577.9,7.2,15.8,353.4,201.4,3991.8,1356.2,2005.7,629.9
North Carolina,NC,5205000,2251.7,348.1,11.3,11.9,43.1,281.8,1903.6,611,1126.1,166.5
North Dakota,ND,615000,1485.9,35.8,0.2,4.1,7.2,24.4,1450.1,249.3,1105.7,95.1
Ohio,OH,10740000,3134.2,248.1,6.4,15.3,126.7,99.8,2886.1,740.1,1663.9,482.1
Oklahoma,OK,2568000,2617.5,185.9,5.8,14.3,49.4,116.5,2431.6,724.1,1462.7,244.7
Oregon,OR,2032000,4209.8,222.8,4,18.3,86.6,113.9,3987,1124.7,2543.9,318.5
Pennsylvania,PA,11803000,2017.8,193.9,4.1,12.1,90.6,87.1,1823.9,577.7,941.4,304.8
Rhode Island,RI,911000,4128.8,175,3.1,4,73.4,94.5,3953.8,982.4,2148.2,823.2
South Carolina,SC,2692000,2551.2,239.6,12.5,14,50,163,2311.6,806.5,1266.7,238.4
South Dakota,SD,659000,1831.9,77.4,2,11.1,12.9,51.4,1754.5,425,1223.5,105.9
Tennessee,TN,3985000,2204.1,231.7,9.6,12.7,75.2,134.3,1972.4,715,975.8,281.6
Texas,TX,11187000,3967.5,328.1,11.3,19.2,116.6,180.9,3639.4,1091.9,2160.8,386.6
Utah,UT,1045000,4027.9,139.7,2.5,14.1,49,74.2,3888.2,848.5,2742,297.7
Vermont,VT,439000,1571.3,53.3,2.5,9.1,9.3,32.3,1518,599.5,805.5,113
Virginia,VA,4669000,3008.1,266.3,7.3,16.4,81,161.6,2741.8,760.2,1690.1,291.4
Washington,WA,3402000,4635.8,242.3,3.6,19.4,113,106.3,4393.5,1296.5,2716.4,380.7
West Virginia,WV,1819000,1104.8,97.1,5.6,5.1,19.1,67.3,1007.7,322.7,599.6,85.4
Wisconsin,WI,4233000,2488.1,80.6,2.1,7.2,28.3,43.1,2407.5,498.5,1685.1,223.9
Wyoming,WY,320000,2701.6,89.4,10.3,11.6,15.9,51.6,2612.2,565,1870,177.2
