state,stateAbbr,population,index,violent,murder,rape,robbery,aggrate,property,burglary,larceny,gta
Alabama,AL,4083000,4451.4,559.2,9.3,27.8,112.2,409.9,3892.2,1198.3,2431.1,262.8
Alaska,AK,525000,5377.5,455.4,10.1,65,73.1,307.2,4922.1,970.1,3465.7,486.3
Arizona,AZ,3386000,7188.6,612.6,7.5,41.2,138.4,425.5,6576,1626.1,4527.3,422.6
Arkansas,AR,2388000,4245.2,412,7.6,32.6,79.1,292.6,3833.2,1078,2548.7,206.5
California,CA,27663000,6506.4,918,10.6,43.8,301.3,562.4,5588.4,1518.2,3240.2,830.1
Colorado,CO,3296000,6451.3,467.5,5.8,40.8,118.8,302.1,5983.8,1534.6,4012.9,436.3
Connecticut,CT,3211000,4995.7,419,4.9,24.9,178.1,211.1,4576.7,1218.3,2829.4,529
Delaware,DE,644000,4938.8,430.7,5.1,68.5,122.5,234.6,4508.1,1020.5,3175.9,311.6
District Of Columbia,DC,622000,8451.6,1610.3,36.2,39.4,717.4,817.4,6841.3,1807.7,4021.2,1012.4
Florida,FL,12023000,8503.2,1024.4,11.4,50.2,356.6,606.3,7478.7,2256.9,4545.2,676.7
Georgia,GA,6222000,5792,576.5,11.8,43.1,209.2,312.4,5215.5,1552.1,3171,492.4
Hawaii,HI,1083000,5817.9,263.3,4.8,36.3,98,124.2,5554.7,1155.6,4033.1,366
Idaho,ID,998000,4156.3,214.2,3.1,17.5,24.2,169.3,3942.1,976.8,2797.9,167.4
Illinois,IL,11582000,5416.5,796.2,8.3,38.4,314.3,435.2,4620.3,1123.7,2957.1,539.5
Indiana,IN,5531000,4119.8,328.5,5.6,29.1,88.6,205.2,3791.3,946.7,2490,354.5
Iowa,IA,2834000,4140.2,231.2,2.1,11.9,36.2,181.1,3909,917.8,2840.1,151.1
Kansas,KS,2476000,4903.9,360.7,4.4,32.6,82.1,241.6,4543.1,1138,3152,253.2
Kentucky,KY,3727000,3270,337.8,7.5,21,90.2,219.1,2932.2,847.1,1892.5,192.7
Louisiana,LA,4461000,5873.3,693,11.1,35.9,179,467,5180.2,1444.5,3323.2,412.5
Maine,ME,1187000,3532.3,152.1,2.5,15.7,25.6,108.3,3380.1,770.7,2436.1,173.4
Maryland,MD,4535000,5477.6,767.8,9.6,39.6,290.3,428.3,4709.8,1162.5,2965.5,581.8
Massachusetts,MA,5855000,4733.8,564.6,3,31.9,177.3,352.5,4169.2,1059.9,2185.1,924.2
Michigan,MI,9200000,6456.8,780.1,12.2,67.2,276.5,424.2,5676.7,1452.2,3472.5,752
Minnesota,MN,4246000,4615.8,285.4,2.6,33.9,102.5,146.3,4330.4,1068.9,2960.1,301.4
Mississippi,MS,2625000,3438.6,269.8,10.2,29.2,57,173.3,3168.8,1201.4,1807,160.5
Missouri,MO,5103000,4707.5,544.6,8.3,28.9,164.1,343.3,4162.8,1111.3,2625.2,426.3
Montana,MT,809000,4599.4,151.2,4.1,19.8,24.2,103.1,4448.2,806.1,3404.3,237.8
Nebraska,NE,1594000,4131.6,251.2,3.5,21.6,47.1,179,3880.4,847.9,2866.5,165.9
Nevada,NV,1007000,6371.4,695.7,8.4,61.8,272.5,353,5675.7,1629.4,3491.3,555
New Hampshire,NH,1057000,3371.7,149.6,3,26.6,26.5,93.5,3222.1,694.8,2310.9,216.5
New Jersey,NJ,7672000,5261.5,541,4.6,33.4,232.8,270.3,4720.5,1008.8,2866.3,845.4
New Mexico,NM,1500000,6546.8,628.5,10.1,43.1,108.3,466.9,5918.3,1787.7,3785.1,345.5
New York,NY,17825000,5952.4,1008.1,11.3,31.1,503.3,462.4,4944.3,1216.4,3024.8,703.1
North Carolina,NC,6413000,4649.9,484,8.1,29.1,93.9,352.9,4165.9,1356.1,2586,223.8
North Dakota,ND,672000,2833,56.8,1.5,9.4,7.6,38.4,2776.2,455.4,2197.6,123.2
Ohio,OH,10784000,4575.3,421.3,5.8,39.9,153.1,222.5,4154,1062.5,2708.6,382.9
Oklahoma,OK,3272000,6025.6,417.6,7.5,35.8,109.5,264.8,5608,1782.8,3220.3,604.9
Oregon,OR,2724000,6969,539.5,5.6,45.8,196,292.2,6429.4,1782.7,4181.6,465.1
Pennsylvania,PA,11936000,3163.2,369.4,5.4,26.2,144.4,193.3,2793.9,722,1722.7,349.2
Rhode Island,RI,986000,5285.5,359.7,3.5,24.4,107.7,224,4925.8,1441,2701.3,783.5
South Carolina,SC,3425000,5161.9,664.9,9.3,43.7,101.1,510.8,4497,1358,2858.2,280.8
South Dakota,SD,709000,2678,119.7,1.8,20.6,12.3,85,2558.3,534.1,1928.5,95.6
Tennessee,TN,4855000,4665.6,533.5,9.1,43.9,193.8,286.6,4132.2,1351.8,2213.4,566.9
Texas,TX,16789000,7722.4,631.1,11.7,48.1,226.7,344.8,7091.3,2118,4238.5,734.8
Utah,UT,1680000,5618.6,229.8,3.3,21.7,52.8,152,5388.8,950.9,4228.5,209.5
Vermont,VT,548000,4271.2,136.5,2.7,22.4,16.8,94.5,4134.7,1110.4,2825.7,198.5
Virginia,VA,5904000,3959.5,295,7.4,26,105.8,155.8,3664.5,806.9,2603.2,254.4
Washington,WA,4538000,7017.1,439.5,5.6,52.2,141.4,240.2,6577.6,1904.5,4277.9,395.2
West Virginia,WV,1897000,2190.7,137.3,4.8,22.6,31.2,78.7,2053.4,603.6,1288.1,161.7
Wisconsin,WI,4807000,4169.4,249.9,3.5,19.8,66.4,160.2,3919.5,842.6,2830.4,246.5
Wyoming,WY,490000,4031.2,283.1,2,31.4,20,229.6,3748.2,717.6,2892,138.6
