state,stateAbbr,population,index,violent,murder,rape,robbery,aggrate,property,burglary,larceny,gta
Alabama,AL,3444165,2479.5,295.7,11.7,18.5,50.3,215.2,2183.8,776.4,1184,223.5
Alaska,AK,302173,3801.8,278,12.2,26.1,71.8,167.8,3523.8,789.9,2182.5,551.3
Arizona,AZ,1772482,5914.2,370.3,9.5,27,120.2,213.7,5543.9,1493,3549.7,501.2
Arkansas,AR,1923295,2421.2,222.3,10.1,17.1,45.6,149.5,2198.8,759.4,1320,119.4
California,CA,19953134,6339.1,474.8,6.9,35.1,206.9,225.9,5864.3,1753,3422.1,689.2
Colorado,CO,2207259,5318.2,356.7,6.2,36,129.1,185.4,4961.4,1380.9,2992.1,588.4
Connecticut,CT,3032217,3489.4,170.4,3.5,9.1,70.4,87.4,3319,1084.2,1750.7,484.2
Delaware,DE,548104,4263.1,327.5,7.7,18.6,105.5,195.8,3935.6,1056.2,2320.4,559
District Of Columbia,DC,756510,10883.4,2226.8,29.2,95.2,1561.9,540.5,8656.6,2873.7,4314.3,1468.6
Florida,FL,6789443,5317.2,498.2,12.7,22.2,186.1,277.2,4819,1561.8,2860.6,396.6
Georgia,GA,4589575,2881.6,304.5,15.3,16.1,95.8,177.3,2577.1,899.9,1368.6,308.6
Hawaii,HI,769913,5265.1,121.8,3.6,11.8,63.3,43.1,5143.3,1456.1,3106.1,581.1
Idaho,ID,713008,3154.8,123.3,4.6,12.3,20.5,85.8,3031.5,673.6,2213.7,144.2
Illinois,IL,11113976,3779.6,467.9,9.6,20.4,251.1,186.8,3311.6,765.4,2028.4,517.8
Indiana,IN,5193669,3484.9,234.6,4.9,19.9,110.3,99.6,3250.3,925.8,1874.2,450.3
Iowa,IA,2825041,2505.1,79.3,1.9,6.2,28.5,42.8,2425.8,507.3,1743.4,175
Kansas,KS,2249071,3643.5,202.8,4.8,14.5,75.1,108.5,3440.8,881.7,2302.5,256.6
Kentucky,KY,3219311,2484.1,222.3,11.1,13.7,72.8,124.7,2261.8,703.9,1211.5,346.3
Louisiana,LA,3643180,3315.9,413.5,11.7,23.1,140.8,237.8,2902.5,890,1627.7,384.7
Maine,ME,993663,2060,89.3,1.5,7,12.6,68.1,1970.7,638.5,1179.6,152.6
Maryland,MD,3922399,4641,624.9,9.2,23.9,338.6,253.3,4016.1,1051.2,2417.3,547.6
Massachusetts,MA,5689170,3746.3,202.9,3.5,12,99.5,87.9,3543.4,1134.1,1531.2,878.1
Michigan,MI,8875083,5507.4,575.7,9.4,27.1,346.6,192.7,4931.8,1570.7,2897.1,464
Minnesota,MN,3805069,3200.9,152,2,9.7,89.1,51.2,3048.9,801.7,1901.5,345.7
Mississippi,MS,2216912,1302.4,179.3,11.5,8.9,19,139.8,1123.1,351.2,693.6,78.4
Missouri,MO,4677399,4154.7,405.9,10.7,27.4,200.8,167,3748.8,1137,2073.9,537.8
Montana,MT,694409,2882.9,111.5,3.2,10.5,22.3,75.5,2771.4,593.7,1955.9,221.8
Nebraska,NE,1483791,2552.9,184.1,3,9.3,57.3,114.5,2368.9,504.5,1572.5,291.9
Nevada,NV,488738,5763.8,398.6,8.8,19.6,188.4,181.7,5365.2,1660.6,3044,660.7
New Hampshire,NH,737681,1722.2,56,2,6,12.1,35.9,1666.2,565.6,928.6,172
New Jersey,NJ,7168164,3575.4,287.1,5.7,12.9,169.4,99,3288.2,1041.4,1689.4,557.4
New Mexico,NM,1016000,4436,304.4,9.6,22.3,67.6,204.8,4131.6,1196.5,2532.4,402.8
New York,NY,18190740,4971.3,685,7.9,15.8,446.1,215.2,4286.3,1470.4,2125,690.9
North Carolina,NC,5082059,2642.7,370.2,11.7,12.9,52.3,293.2,2272.5,765.8,1338.9,167.8
North Dakota,ND,617761,1706.5,34.2,0.5,6.2,6.5,21,1672.3,286.4,1295,91
Ohio,OH,10652017,3574.4,284.3,6.6,16,145.9,115.9,3290.1,853.9,1943.5,492.8
Oklahoma,OK,2559253,2977.4,202.9,5.9,15.6,54.7,126.7,2774.4,835.4,1659.6,279.3
Oregon,OR,2091385,4688.2,256.9,4.6,18,102.5,131.7,4431.3,1273.4,2825,332.8
Pennsylvania,PA,11793909,2185.8,220.2,5.4,11.9,108.6,94.2,1965.6,599.7,1020.7,345.2
Rhode Island,RI,949723,4268.8,204.7,3.2,3.6,78.3,119.6,4064.1,1018.9,2186.2,859
South Carolina,SC,2590516,3058.1,286.1,14.6,18,60.1,193.4,2772,1019.4,1495.5,257.1
South Dakota,SD,666257,2053.6,92.5,3.8,11.1,17.1,60.5,1961.1,471.3,1396.2,93.7
Tennessee,TN,3924164,2395.6,274.9,8.8,15.5,82,168.6,2120.7,806.7,1024.7,289.3
Texas,TX,11196000,4173.3,365.3,11.6,20.8,136.5,196.4,3808.1,1159.9,2242.7,405.4
Utah,UT,1059273,4201.7,137.7,3.4,10.9,53.1,70.3,4063.9,915,2832.7,316.3
Vermont,VT,444732,1897.1,74,1.3,10.3,7.6,54.6,1823.1,730.6,968.7,123.9
Virginia,VA,4648494,3665.4,302,10.4,17.1,95.5,179.1,3363.4,914.6,2134.9,313.9
Washington,WA,3409169,4881.1,221.3,3.5,18,93.5,106.3,4659.7,1444.5,2853.5,361.8
West Virginia,WV,1744237,1378.5,123.7,6.2,6.7,27.3,83.5,1254.8,388.5,773.8,92.4
Wisconsin,WI,4417933,2702.1,85.8,2,6.7,33.1,44,2616.2,538.5,1860.1,217.6
Wyoming,WY,332416,2972.2,113.1,5.7,12.3,22,73.1,2859.1,645.9,2048.6,164.6
