state,stateAbbr,population,index,violent,murder,rape,robbery,aggrate,property,burglary,larceny,gta
Alabama,AL,3943000,4633.6,447.7,10.6,26,112,299.1,4185.8,1256.2,2656.4,273.3
Alaska,AK,438000,6212.6,623.7,18.5,85.4,133.8,386.1,5588.8,1188.1,3806.4,594.3
Arizona,AZ,2860000,7131,517,8.3,38.5,158.6,311.6,6614,1883.3,4360.9,369.8
Arkansas,AR,2291000,3871.5,324.7,8.2,27.1,78.8,210.6,3546.9,1071.5,2289.4,186
California,CA,24724000,7285.5,814.7,11.2,50.7,372.1,380.7,6470.7,2020.2,3785.1,665.5
Colorado,CO,3045000,7079.9,504.2,6,44.5,150.6,303.1,6575.7,1749.1,4429.3,397.3
Connecticut,CT,3153000,5427.5,399.5,5.2,21.9,208.5,163.9,5028,1410.8,3065,552.2
Delaware,DE,602000,6384.9,559.8,5.3,30.9,122.4,401.2,5825.1,1444.9,3968.6,411.6
District Of Columbia,DC,631000,10410.8,2123.1,30.7,66.7,1448,577.7,8287.6,2341.4,5298.7,647.5
Florida,FL,10416000,7465.2,896.8,13.5,53.6,297.6,532,6568.4,2034.7,4103.9,429.8
Georgia,GA,5639000,5214.8,478.2,12.6,39.8,154.6,271.2,4736.6,1497.9,2926.9,311.7
Hawaii,HI,994000,6584.3,255.7,3.1,34.4,156.9,61.3,6328.6,1657.6,4250.3,420.6
Idaho,ID,965000,4083.2,259.2,2.5,16.6,30.3,209.8,3824,1031.9,2617.2,174.9
Illinois,IL,11448000,5840.3,774.3,8.8,29.9,346.8,388.8,5066,1373.8,3093.2,599
Indiana,IN,5471000,4429.5,300.6,6.5,27.8,109,157.2,4128.9,1088.8,2713.5,326.6
Iowa,IA,2905000,4136.5,172.7,2.3,12.5,36.2,121.8,3963.8,947.8,2842.3,173.7
Kansas,KS,2408000,4952,335.9,5.7,24.8,87,218.4,4616.1,1344.8,3048.8,222.5
Kentucky,KY,3667000,3568.4,315,9.7,20,97.3,188,3253.4,1029.1,1991.3,233.1
Louisiana,LA,4362000,5311.2,669.1,16,39.9,212.6,400.6,4642.1,1424.8,2881.7,335.6
Maine,ME,1133000,3859.8,163,2.1,13.4,30.5,117,3696.7,1047,2459.2,190.6
Maryland,MD,4265000,6012.4,850,10.1,37.4,360.5,441.9,5162.3,1419.6,3350.6,392.1
Massachusetts,MA,5781000,5503.7,571.4,3.8,25.3,213.8,328.5,4932.4,1422.1,2541.7,968.6
Michigan,MI,9109000,6784.5,656.6,9.1,46.6,271.1,329.7,6128,1813.1,3623.1,691.7
Minnesota,MN,4133000,4454.6,219.3,2.3,22.7,101.3,92.9,4235.4,1182.1,2815.8,237.6
Mississippi,MS,2551000,3572.6,294.6,14,26.5,73,181.1,3278,1183.8,1940.6,153.6
Missouri,MO,4951000,4947.8,506.5,9.7,25.9,193,278,4441.3,1391.3,2714.3,335.8
Montana,MT,801000,4333.2,224.8,3.9,14.9,33.1,173,4108.4,843.8,3006.1,258.4
Nebraska,NE,1586000,3950.8,229.6,2,20.7,61.9,145,3721.2,811.3,2732.1,177.9
Nevada,NV,881000,7901,805.4,13.6,61.5,419.6,310.7,7095.6,2412.7,4117.9,564.9
New Hampshire,NH,951000,3829.2,124.8,2.2,16.2,33.9,72.6,3704.4,945,2535.8,223.7
New Jersey,NJ,7438000,5676.1,607.4,6.5,28.9,307.6,264.4,5068.8,1430.7,3011.3,626.8
New Mexico,NM,1359000,6607.7,734.5,11.6,48.3,126.2,548.4,5873.1,1628.8,3929.5,314.9
New York,NY,17659000,6468.1,990.1,11.4,29.2,610.7,338.7,5478.1,1671.9,3025.3,780.8
North Carolina,NC,6019000,4543.2,446.3,9.1,22,85.9,329.5,4096.9,1309,2603.4,184.5
North Dakota,ND,670000,2648.1,61.8,0.7,9.9,12.7,38.5,2586.3,458.8,1987.2,140.3
Ohio,OH,10791000,4935.5,436.7,6.3,29.9,183.6,217,4498.8,1309.6,2807.5,381.7
Oklahoma,OK,3177000,5222.4,443.9,10.8,37.1,132.8,263.2,4778.5,1603.9,2685.7,488.9
Oregon,OR,2649000,6567.5,473,5.1,39.9,167.3,260.6,6094.5,1789.7,4003.8,301
Pennsylvania,PA,11865000,3452.8,360.4,5.7,20.6,175.4,158.7,3092.3,900.7,1859.4,332.2
Rhode Island,RI,958000,5364.1,401.8,3.7,19.4,114.7,264,4962.3,1400.2,2826.4,735.7
South Carolina,SC,3203000,5361.2,720,10.9,38.8,122.4,547.9,4641.2,1490.9,2872.6,277.7
South Dakota,SD,691000,2644.9,99,2.7,11.4,17.1,67.7,2545.9,562.2,1865.3,118.4
Tennessee,TN,4651000,4413.6,421.1,9.7,35.5,175.7,200.2,3992.5,1288.6,2371.9,332
Texas,TX,15280000,6302.2,577.1,16.1,44.6,220,296.3,5725.1,1871.5,3283.6,570.1
Utah,UT,1554000,5334,285.7,3.4,23.7,86.5,172.1,5048.3,1106.9,3689.9,251.5
Vermont,VT,516000,4691.9,126.9,2.3,34.9,23.1,66.7,4564.9,1178.3,3131.8,254.8
Virginia,VA,5491000,4255.7,309.1,7.4,24.9,122.2,154.6,3946.7,973.5,2789.1,184.1
Washington,WA,4245000,6282.2,406.4,4.4,45.9,117.9,238.3,5875.8,1680.1,3914.9,280.8
West Virginia,WV,1948000,2511.2,174.8,5.2,15.5,49.8,104.3,2336.4,717.9,1435.4,183.1
Wisconsin,WI,4765000,4439.1,190.5,3.1,14.3,71.2,101.9,4248.6,977.2,3088.7,182.7
Wyoming,WY,502000,4804,304.2,9.2,27.1,34.3,233.7,4499.8,882.9,3367.1,249.8
