state,stateAbbr,population,index,violent,murder,rape,robbery,aggrate,property,burglary,larceny,gta
Alabama,AL,4136000,5268.1,871.7,11,41.2,164.9,654.6,4396.4,1186,2848.2,362.3
Alaska,AK,587000,5569.5,660.5,7.5,98.6,109,445.3,4909,880.7,3531.2,497.1
Arizona,AZ,3832000,7028.6,670.8,8.1,43,153.1,466.6,6357.8,1411.7,4124.6,821.5
Arkansas,AR,2399000,4761.7,576.5,10.8,41.3,125.5,399,4185.2,1092.7,2763.2,329.3
California,CA,30867000,6679.5,1119.7,12.7,41.3,424.1,641.6,5559.8,1384.9,3137.8,1037.1
Colorado,CO,3470000,5958.8,578.8,6.2,47.3,120.5,404.9,5379.9,1090.9,3780.1,509
Connecticut,CT,3281000,5052.9,495.3,5.1,26.9,210.9,252.5,4557.6,1108.6,2726.7,722.3
Delaware,DE,689000,4848.5,621.2,4.6,85.8,151.2,379.5,4227.3,957.6,2963.6,306.1
District Of Columbia,DC,589000,11407,2832.8,75.2,36.5,1266.4,1454.7,8574.2,1820.2,5205.9,1548
Florida,FL,13488000,8358.2,1207.2,9,54.2,366.9,777.2,7151,1888.8,4434.3,828
Georgia,GA,6751000,6405.4,733.2,11,45.3,249.8,427.1,5672.3,1442.8,3653.1,576.4
Hawaii,HI,1160000,6112,258.4,3.6,37.9,99.2,117.7,5853.5,1121.2,4357.2,375.1
Idaho,ID,1067000,3996.2,281.4,3.5,31.8,21.5,224.7,3714.7,743.6,2813.8,157.4
Illinois,IL,11631000,5765.3,977.3,11.4,37.1,412.5,516.4,4788.1,1077.3,3091.9,618.8
Indiana,IN,5662000,4686.9,508.5,8.2,42.4,122.2,335.7,4178.5,952.1,2776.1,450.3
Iowa,IA,2812000,3957.1,278,1.6,18.8,39.6,218,3679.2,753.8,2766.3,159.1
Kansas,KS,2523000,5319.9,510.8,6,41.3,129.9,333.7,4809.1,1293.7,3191.7,323.8
Kentucky,KY,3755000,3323.5,535.5,5.8,32.2,87.2,410.4,2788.1,729.1,1842.5,216.5
Louisiana,LA,4287000,6546.5,984.6,17.4,42.3,271.4,653.4,5561.9,1366.3,3567.5,628.1
Maine,ME,1235000,3523.6,130.9,1.7,23.8,23.3,82,3392.7,822.3,2426.4,144
Maryland,MD,4908000,6224.6,1000.1,12.1,46.4,429,512.6,5224.5,1131.2,3366.8,726.4
Massachusetts,MA,5998000,5002.9,779,3.6,36.1,184.4,555,4223.8,1072.3,2361,790.5
Michigan,MI,9437000,5610.6,770.1,9.9,80,221.5,458.6,4840.5,1041.2,3173.5,625.8
Minnesota,MN,4480000,4590.7,338,3.3,41.1,109.5,184.1,4252.7,889.7,3007.8,355.2
Mississippi,MS,2614000,4282.5,411.7,12.2,44.6,124.5,230.4,3870.7,1282.8,2251.4,336.5
Missouri,MO,5193000,5097.1,740.4,10.5,36.5,226.9,466.5,4356.7,1100.1,2759.3,497.4
Montana,MT,824000,4596.1,169.9,2.9,25.5,26.9,114.6,4426.2,643.9,3548.9,233.4
Nebraska,NE,1606000,4324,348.6,4.2,31.4,56.7,256.2,3975.5,714.6,3060,200.8
Nevada,NV,1327000,6203.8,696.8,10.9,62.8,331.3,291.8,5506.9,1289.2,3520.3,697.4
New Hampshire,NH,1111000,3080.6,125.7,1.6,38.2,33,52.9,2954.8,621.9,2138.1,194.9
New Jersey,NJ,7789000,5064.4,625.8,5.1,30.7,285.2,304.8,4438.5,969.4,2653.6,815.6
New Mexico,NM,1581000,6434.1,934.9,8.9,62.6,139.3,724.1,5499.2,1511.4,3609.9,377.9
New York,NY,18119000,5858.4,1122.1,13.2,28.4,596.9,483.5,4736.3,1068.2,2735.8,932.3
North Carolina,NC,6843000,5802.2,681,10.6,35.9,186.8,447.7,5121.2,1653,3181.6,286.6
North Dakota,ND,636000,2903.3,83.3,1.9,23.3,7.9,50.3,2820,391,2279.6,149.4
Ohio,OH,11016000,4665.5,525.9,6.6,52.1,199,268.2,4139.6,947.3,2721.3,471
Oklahoma,OK,3212000,5431.6,622.8,6.5,48.4,136.2,431.6,4808.8,1359.8,2932.1,516.8
Oregon,OR,2977000,5820.9,510.2,4.7,53.1,151.4,301.1,5310.7,1106.7,3670.6,533.5
Pennsylvania,PA,12009000,3392.7,427,6.2,27.7,180.7,212.4,2965.7,631.5,1866.5,467.7
Rhode Island,RI,1005000,4578,394.5,3.6,30.9,94.5,265.5,4183.5,1047.7,2393.2,742.6
South Carolina,SC,3603000,5893.1,944.5,10.4,57.5,170.6,706,4948.6,1378.5,3224.7,345.4
South Dakota,SD,711000,2998.9,194.5,0.6,51.8,16.9,125.3,2804.4,541.4,2161.9,101.1
Tennessee,TN,5024000,5135.8,746.2,10.4,47.3,218.2,470.3,4389.6,1267.2,2546.5,575.9
Texas,TX,17656000,7057.9,806.3,12.7,53.4,252.5,487.7,6251.6,1523.2,3906.8,821.7
Utah,UT,1813000,5658.5,290.5,3,45.4,55.9,186.2,5368,885,4245.1,237.9
