state,stateAbbr,population,index,violent,murder,rape,robbery,aggrate,property,burglary,larceny,gta
Alabama,AL,3517000,1758.3,230.3,10.9,9.7,32,177.7,1528,527.5,869.6,131
Alaska,AK,272000,2785.7,150.4,12.9,19.5,36,82,2635.3,593,1600.7,441.5
Arizona,AZ,1618000,4135.8,202.2,6.1,18.3,55.5,122.4,3933.6,931.1,2630.1,372.3
Arkansas,AR,1955000,1382.9,162.9,7.1,9.8,29.4,116.6,1219.9,360.3,774.4,85.2
California,CA,18918000,4549.4,305.1,4.6,23.4,118,159.1,4244.3,1277.4,2506.2,460.7
Colorado,CO,1977000,3009.6,168.9,4,17.3,53.8,93.8,2840.7,711,1831.3,298.3
Connecticut,CT,2875000,1982.3,74.6,2,6,20.9,45.8,1907.6,616.6,1040.7,250.3
Delaware,DE,512000,2619.7,127.9,9,9.6,58.6,50.8,2491.8,762.3,1458.8,270.7
District Of Columbia,DC,808000,4942.7,885.5,17.5,16.6,458.3,393.2,4057.2,1299.3,1945.4,812.5
Florida,FL,5941000,3716.3,337.8,10.3,14.7,99.9,213,3378.5,1057.7,2077.5,243.3
Georgia,GA,4459000,1879.8,203.3,11.3,14.6,34.9,142.6,1676.5,551.2,943.5,181.7
Hawaii,HI,718000,3503.2,83.3,2.9,4.9,21.6,53.9,3419.9,1129.7,1971,319.2
Idaho,ID,694000,2011.4,66.4,3,9.5,7.8,46.1,1945,389.9,1451.9,103.2
Illinois,IL,10722000,2759.3,364.8,6.9,16.6,184.9,156.4,2394.4,560.5,1418.6,415.3
Indiana,IN,4918000,2336.1,146.3,4,10.6,62.8,68.9,2189.8,627.5,1286.7,275.5
Iowa,IA,2747000,1643.8,44.2,1.6,4.8,12.8,25,1599.6,336.5,1131.2,131.9
Kansas,KS,2250000,2102,111.9,3.5,8.9,29.6,69.9,1990.2,476.1,1366.3,147.8
Kentucky,KY,3183000,1738.4,131.7,7,8.3,42.8,73.5,1606.7,482.6,896.4,227.7
Louisiana,LA,3603000,2158.1,241.2,9.9,16.6,66.8,147.9,1917,578.5,1073.7,264.8
Maine,ME,983000,1427.2,49.4,2.2,4.9,5.9,36.4,1377.7,364,907.1,106.6
Maryland,MD,3613000,3163.6,311,7,15.3,123.7,164.9,2852.6,754.3,1668.1,430.2
Massachusetts,MA,5383000,2275.3,115.2,2.4,6.4,46,60.5,2160.1,619.1,989.1,551.8
Michigan,MI,8374000,3708.3,332.1,5,28.2,155.1,143.8,3376.2,984,2038.7,353.5
Minnesota,MN,3576000,2234.1,103.2,2.2,7.3,49.4,44.4,2130.9,579.2,1305.5,246.3
Mississippi,MS,2327000,897.2,150.6,9.7,8,13.3,119.6,746.6,238.4,448.6,59.6
Missouri,MO,4508000,2920.3,247.3,5.4,17.6,105.8,118.5,2673,782.2,1606.3,284.6
Montana,MT,702000,2356,72.2,2.8,9,17.8,42.6,2283.8,496,1555.1,232.6
Nebraska,NE,1456000,1925.6,64.6,1.8,6.7,24.9,31.3,1861,420.1,1267,173.8
Nevada,NV,454000,3625.3,217.4,10.6,11.5,96.9,98.5,3407.9,931.5,2091.2,385.2
New Hampshire,NH,681000,1138,38,1.9,4.4,10.3,21.4,1100,349.8,647.7,102.5
New Jersey,NJ,6898000,2328.5,161.9,3.5,9.3,63.7,85.4,2166.6,712.9,1121.7,332
New Mexico,NM,1022000,3263.6,217.3,6.3,13.5,44.8,152.7,3046.3,917.8,1856.3,272.2
New York,NY,18258000,3338.1,342.6,4.8,13.4,164.8,159.6,2995.4,1074.2,1568.7,352.5
North Carolina,NC,5000000,1704.2,295.5,9.2,10.8,24.3,251.3,1408.7,442.7,825.2,140.9
North Dakota,ND,650000,1207.1,35.5,1.8,4.3,6.2,23.2,1171.5,221.4,862.9,87.2
Ohio,OH,10305000,2098.7,151.6,4.5,9.3,70,67.8,1947.1,490.7,1220.9,235.5
Oklahoma,OK,2458000,2193.2,144.5,5.5,13.7,41.3,84.1,2048.7,611.7,1240.2,196.7
Oregon,OR,1955000,2987.2,126.3,2.7,12.6,45.8,65.2,2860.9,685.1,1935.5,240.2
Pennsylvania,PA,11582000,1493.2,131,3.3,10.9,50.2,66.6,1362.2,423.7,728.7,209.9
Rhode Island,RI,898000,2578.8,94.5,1.4,5,25.4,62.7,2484.3,707.6,1262.7,514
South Carolina,SC,2586000,1982.5,226,11.6,13.6,28.8,172,1756.5,536.2,1060.2,160.2
South Dakota,SD,682000,1513.9,83.3,1.5,8.9,10,62.9,1430.6,318.9,1021.1,90.6
Tennessee,TN,3883000,1816.9,158.3,7.8,10.8,34.4,105.2,1658.6,602.5,863.1,193.1
Texas,TX,10752000,2872.5,226.8,9.1,11.5,55.7,150.4,2645.8,768.7,1646.1,231
Utah,UT,1008000,3330.3,113.9,2,10.2,36.5,65.2,3216.4,689.7,2262.5,264.2
Vermont,VT,405000,1117,19.8,1.5,6.9,4,7.4,1097.3,427.9,552.6,116.8
Virginia,VA,4507000,2328.7,230.7,8.1,12,44.5,166.2,2098,620.5,1272.2,205.3
Washington,WA,2980000,3099.2,123.3,2.5,11.6,36.7,72.4,2976,669.7,2065.9,240.4
West Virginia,WV,1794000,936.5,89.9,4.2,5.1,19.1,61.5,846.6,259.3,509.8,77.5
Wisconsin,WI,4161000,1899.5,47.7,1.9,3.6,12.9,29.2,1851.8,344.8,1315.5,191.6
Wyoming,WY,329000,2215.5,83,4.9,12.2,21,45,2132.5,383.9,1597.9,150.8
