state,stateAbbr,population,index,violent,murder,rape,robbery,aggrate,property,burglary,larceny,gta
Alabama,AL,3347000,1333.6,182.7,10.2,5.7,24.7,142.1,1150.9,376.9,683.4,90.6
Alaska,AK,248000,2062.5,109.7,6.5,14.9,22.2,66.1,1952.8,381.5,1213.7,357.7
Arizona,AZ,1559000,3394.5,194.2,6,14.2,57.5,116.4,3200.4,830.3,2002.1,368
Arkansas,AR,1858000,1180.8,107.2,7.4,6.1,25.1,68.6,1073.7,327.6,662.8,83.3
California,CA,17590000,3787,241.2,3.8,17.5,93.6,126.3,3545.8,998.9,2184.7,362.2
Colorado,CO,1961000,2660.8,130.3,4.8,14.5,68.3,42.6,2530.5,670.5,1553.5,306.5
Connecticut,CT,2666000,1577.1,44.7,1.8,3.3,13.7,25.9,1532.4,470.9,877.6,183.9
Delaware,DE,476000,2377.3,89.1,5,9,38,37,2288.2,707.1,1377.9,203.2
District Of Columbia,DC,798000,3206,594,11.9,10.9,213.9,357.3,2612,875.2,1302.6,434.2
Florida,FL,5652000,2786,215,8.2,7,71.1,128.7,2571,824.6,1575.3,171.2
Georgia,GA,4140000,1687.4,169.5,9.4,9.6,34.1,116.5,1517.9,468.6,841.6,207.7
Hawaii,HI,694000,2542.5,31,1.7,2.6,11.5,15.1,2511.5,712.4,1557.9,241.2
Idaho,ID,713000,1880.2,50.8,2.5,5.5,12.2,30.6,1829.5,337.3,1394,98.2
Illinois,IL,10182000,2585.3,330.3,5.1,13.9,188.5,122.7,2255,541.3,1332.1,381.6
Indiana,IN,4694000,2050.2,102.7,2.8,8.1,47.3,44.5,1947.5,538.9,1195.7,213
Iowa,IA,2780000,1179.3,22.6,1.3,3.6,9.1,8.7,1156.7,270.4,804.8,81.5
Kansas,KS,2225000,1642,82.3,2.6,6.7,29.1,44,1559.7,370.1,1081.7,108
Kentucky,KY,3095000,1437.2,92.1,5.6,5.4,35.8,45.3,1345.1,436.4,780.6,128.1
Louisiana,LA,3418000,1554.8,169.6,6.9,6.2,42.3,114.2,1385.1,395.8,791.3,198.1
Maine,ME,982000,1173.3,31.2,1.9,3.7,6.5,19,1142.2,302.6,737.9,101.6
Maryland,MD,3289000,2142,160.6,6.3,9.4,52.3,92.6,1981.4,485.5,1258.3,237.6
Massachusetts,MA,5218000,1725.9,66.2,1.9,4.5,27,32.7,1659.7,443.1,850.6,366
Michigan,MI,8116000,2976.3,227.7,3.5,15,103.4,105.7,2748.6,725.5,1797.2,225.8
Minnesota,MN,3500000,1696.9,56.7,1.2,2.6,33.9,19,1640.3,404.6,1087.9,147.8
Mississippi,MS,2290000,650.8,77.7,7.2,4.3,8.3,57.9,573.1,186,338,49.2
Missouri,MO,4328000,2565.7,199.4,5.2,13.7,87.5,93,2366.3,661.8,1464.2,240.3
Montana,MT,707000,2156.9,58.6,2,8.3,20.7,27.6,2098.3,478.1,1375.1,245.1
Nebraska,NE,1460000,1431,40.5,2,7,15.5,16,1390.5,293.8,971.3,125.4
Nevada,NV,368000,4590.2,205.2,7.9,16.3,118.8,62.2,4385.1,1147,2565.5,672.6
New Hampshire,NH,627000,931.4,26.2,3.2,4.8,6.9,11.3,905.3,279.3,534.9,91.1
New Jersey,NJ,6470000,1899,136.8,2.8,8.7,52,73.3,1762.3,556.3,945.9,260.1
New Mexico,NM,1018000,2422.3,135.2,5.6,12.2,37.8,79.6,2287.1,597.2,1457.9,232
New York,NY,0,0,0,0,0,0,0,0,0,0,0
North Carolina,NC,4760000,1300.7,210.9,8.2,7.3,19,176.4,1089.9,335,648.7,106.1
North Dakota,ND,634000,1039.4,28.7,2.1,3.5,9.6,13.6,1010.7,190.4,724,96.4
Ohio,OH,10173000,1741.1,89.3,3,6.1,40.7,39.5,1651.8,431.5,1072.4,147.9
Oklahoma,OK,2487000,1962.8,112.9,5.2,8,40.1,59.6,1849.9,536,1122,191.9
Oregon,OR,1826000,2210.4,76.3,3,8.8,30.3,34.1,2134.1,483.2,1479.9,171
Pennsylvania,PA,11424000,1233.3,111,2.3,8.1,41.8,58.7,1122.3,350.9,612,159.4
Rhode Island,RI,885000,2005,56.5,1.4,2.3,17.3,35.6,1948.5,538.4,1139.1,271
South Carolina,SC,2483000,1830.6,164.1,10,6,21.6,126.5,1666.5,575.4,957.8,133.2
South Dakota,SD,737000,1116.7,37.7,1.2,5.3,10.6,20.6,1079,246.7,740.6,91.7
Tennessee,TN,3694000,1474.2,102.2,6.5,6.7,28.4,60.7,1372,515.9,690.4,165.7
Texas,TX,10323000,2243.3,169.6,7.4,9.8,35.8,116.7,2073.7,609,1292.8,171.9
Utah,UT,983000,2392.4,60.8,2.4,7.8,22.9,27.7,2331.5,500.1,1645.7,185.8
Vermont,VT,390000,1111.3,23.6,0.5,8.5,6.9,7.7,1087.7,413.8,555.6,118.2
Virginia,VA,4331000,1868.8,190.7,7.1,9.6,29.3,144.8,1678.1,451.1,1093,134
Washington,WA,3050000,2396.2,66.7,2.5,6.4,30,27.8,2329.5,529,1622.6,177.9
West Virginia,WV,1778000,769.9,66.6,5.3,4.2,14.6,42.5,703.2,226.3,402.9,74
Wisconsin,WI,4061000,1347,32.3,1.7,2.8,9.7,18.1,1314.7,236,958.4,120.3
Wyoming,WY,337000,1867.7,63.2,3.6,6.2,21.4,32,1804.5,345.1,1322.6,136.8
