state,stateAbbr,population,index,violent,murder,rape,robbery,aggrate,property,burglary,larceny,gta
Alabama,AL,3540000,1851,238.6,11.7,10.5,33,183.5,1612.4,571.4,895,146
Alaska,AK,272000,2884.6,160.7,9.6,17.6,35.3,98.2,2723.9,688.6,1630.9,404.4
Arizona,AZ,1634000,4837.9,238.2,5.6,16.7,74.9,141,4599.8,1137.3,3055.3,407.2
Arkansas,AR,1968000,1628.5,219.5,8.8,14.2,35.2,161.3,1408.9,443.9,879.1,86
California,CA,19153000,5055.1,352.1,5.4,25,149,172.7,4703,1446,2748.8,508.1
Colorado,CO,1975000,3309.1,191.8,4.1,20.9,67.9,98.9,3117.2,789.4,2019.5,308.4
Connecticut,CT,2925000,2281.2,95.9,2.4,5.6,32.2,55.7,2185.4,751.7,1112.6,321.1
Delaware,DE,524000,2891.6,180.9,8.6,11.5,65.5,95.4,2710.7,832.1,1500.2,378.4
District Of Columbia,DC,809000,6660.8,1143.6,22,21.3,711.9,388.5,5517.2,1817.3,2648.3,1051.5
Florida,FL,5995000,4103.6,390.3,10.5,15.2,130.9,233.6,3713.3,1220.8,2206.8,285.7
Georgia,GA,4509000,1954.2,189.3,11.1,12.4,37.3,128.5,1764.9,591.4,973.6,199.9
Hawaii,HI,739000,3719.4,80,2.4,5,19.8,52.8,3639.4,1152.4,2082.8,404.2
Idaho,ID,699000,1905.7,68.4,4.3,8.7,10.9,44.5,1837.3,405.9,1318.6,112.9
Illinois,IL,10893000,2910.5,394.3,7.3,17.9,200.9,168.3,2516.2,608.5,1486.1,421.7
Indiana,IN,5000000,2592.5,162.9,3.8,12.7,78.7,67.8,2429.6,701.5,1389.3,338.9
Iowa,IA,2753000,1881,58.4,1.5,5.6,21,30.3,1822.6,431.6,1235.8,155.2
Kansas,KS,2275000,2474.5,142.8,4,10.7,42.2,86,2331.7,598.2,1548.6,184.9
Kentucky,KY,3189000,1856.3,140.6,7.2,9.1,47.1,77.2,1715.6,482.9,950.9,281.8
Louisiana,LA,3662000,2388.8,275,9.3,16.5,82.1,167.2,2113.8,656.2,1176.3,281.3
Maine,ME,973000,1622.9,63.8,0.4,6,9.7,47.8,1559.1,457.6,990.4,111.1
Maryland,MD,3682000,3910.4,474.1,8,19.6,212.1,234.5,3436.2,1014.8,1932.3,489.1
Massachusetts,MA,5421000,2482.1,127.6,2.8,7.6,52,65.2,2354.5,675.5,1011.6,667.4
Michigan,MI,8584000,4062,389,6.5,26.6,188.6,167.3,3673.1,1160.6,2123.5,389
Minnesota,MN,3582000,2593.2,132,1.6,8.6,67.1,54.7,2461.2,704.4,1464.4,292.4
Mississippi,MS,2348000,900.2,113.8,8.7,5.5,10.6,89,786.4,257.8,471.9,56.7
Missouri,MO,4603000,3123.7,276.9,7.3,17.1,130.5,122.1,2846.8,861.1,1630.7,355
Montana,MT,701000,2457.1,83.9,2.4,10.3,21.4,49.8,2373.2,522.3,1635.2,215.7
Nebraska,NE,1435000,2092.8,113.2,2.7,8.2,38.7,63.6,1979.6,491.7,1299.7,188.2
Nevada,NV,444000,4304.1,247.7,10.8,14.4,117.8,104.7,4056.3,1066.2,2513.3,476.8
New Hampshire,NH,686000,1118.5,31.8,2,3.4,6.1,20.3,1086.7,342.6,632.4,111.8
New Jersey,NJ,7003000,2737.7,188.5,3.9,9.7,82.5,92.4,2549.1,861.4,1262.5,425.3
New Mexico,NM,1003000,3270.4,231.8,6.6,15.5,45.5,164.3,3038.6,851.3,1932,255.2
New York,NY,18336000,3776.9,409.7,5.4,14.5,219.3,170.5,3367.2,1195.2,1715.1,456.9
North Carolina,NC,5029000,1892.3,318.1,9.9,11.3,32.1,264.8,1574.2,516.3,911.8,146.1
North Dakota,ND,639000,1399.4,29,0.2,4.7,5.8,18.3,1370.4,241.2,1046.9,82.3
Ohio,OH,10458000,2518.4,185,5.2,10.3,95,74.5,2333.4,607.6,1400.2,325.6
Oklahoma,OK,2495000,2314.5,148.4,6.7,13.7,39.1,88.9,2166.1,626.5,1348.9,190.7
Oregon,OR,1999000,3465.1,157.4,3.1,12.4,65.9,76.1,3307.7,857.4,2176.8,273.4
Pennsylvania,PA,11629000,1666.5,138.6,3.9,9.9,57.9,66.9,1527.9,487.7,803.9,236.3
Rhode Island,RI,900000,3136.3,128.4,2.2,4.8,31.4,90,3007.9,896.9,1502.1,608.9
South Carolina,SC,2599000,2091,231.4,11.2,14.6,35,170.7,1859.6,638.8,1058.4,162.3
South Dakota,SD,674000,1556.7,86.9,3.7,8.3,12.9,62,1469.7,341.5,1044.1,84.1
Tennessee,TN,3892000,2107.6,208.4,8.9,12.5,56.5,130.5,1899.2,711.8,944.2,243.1
Texas,TX,10869000,3129.7,246.1,9.9,13.1,69.5,153.6,2883.6,822.4,1796.6,264.5
Utah,UT,1024000,3244.4,116.6,2.7,7.2,38.5,68.2,3127.8,685.5,2217,225.3
Vermont,VT,417000,1221.8,20.6,3.1,4.3,1.9,11.3,1201.2,517,559.2,124.9
Virginia,VA,4536000,2618.7,227.7,9.1,13.2,52.8,152.5,2391,721.1,1428.7,241.2
Washington,WA,3087000,3736.7,154,3.1,12.5,54.6,83.7,3582.7,837.7,2463.5,281.5
West Virginia,WV,1798000,1024.7,97,4.6,4.7,19.3,68.4,927.8,298.4,542,87.4
Wisconsin,WI,4189000,2232.1,70.4,1.9,4.6,28,35.9,2161.8,450.3,1496.8,214.6
Wyoming,WY,315000,2412.1,93.3,4.8,7.3,13.7,67.6,2318.7,506,1637.8,174.9
