state,stateAbbr,population,index,violent,murder,rape,robbery,aggrate,property,burglary,larceny,gta
Alabama,AL,3358000,1224.3,157.3,9.4,6.5,22.5,119,1067,349.1,634.5,83.4
Alaska,AK,246000,1656.1,91.5,4.5,18.7,13.8,54.5,1564.6,351.6,985.4,227.6
Arizona,AZ,1509000,3201.1,173,5.7,13.1,56.4,97.7,3028.1,774.9,1895.6,357.6
Arkansas,AR,1823000,1089.7,91.4,7.9,6.8,21.9,54.8,998.3,311.7,612.7,73.9
California,CA,16970000,3561,234.8,3.9,17.4,91.9,121.7,3326.2,934.1,2052.9,339.2
Colorado,CO,1907000,2667.1,156.8,5,14.8,85.2,51.8,2510.3,681.1,1507.1,322.2
Connecticut,CT,2597000,1337.5,36.1,1.3,3.1,9.9,21.8,1301.4,395,760.1,146.2
Delaware,DE,469000,2237.7,72.1,4.3,9.4,29.9,28.6,2165.7,600,1381.4,184.2
District Of Columbia,DC,784000,2832.7,605.9,11.6,10.5,200.5,383.3,2226.8,640.6,1257,329.2
Florida,FL,5459000,2537.4,192.1,7.7,5.8,63.3,115.3,2345.3,743.3,1433.7,168.3
Georgia,GA,4100000,1545.4,151.2,10.3,10.7,31.7,98.5,1394.1,460.3,742.3,191.5
Hawaii,HI,693000,2546.5,36.9,2.9,2.5,17.3,14.3,2509.5,647.2,1543,319.3
Idaho,ID,698000,1928.5,33.5,3,3.6,9,17.9,1895,352.1,1423.9,118.9
Illinois,IL,10146000,2546,383.7,5.3,18.6,201.5,158.3,2162.4,555.7,1235,371.7
Indiana,IN,4715000,1802.8,88.9,3.5,6.1,38.5,40.7,1713.9,470.5,1049.3,194.1
Iowa,IA,2777000,1137.6,20.1,1.1,3.8,8.6,6.7,1117.4,263.8,780.3,73.4
Kansas,KS,2219000,1567.9,66.6,2.8,6.6,21.6,35.5,1501.3,339.4,1059.7,102.3
Kentucky,KY,3082000,1331.4,96.1,6.5,5.7,36.4,47.5,1235.2,415.6,703.8,115.8
Louisiana,LA,3330000,1332,137.2,6.8,6.8,39,84.7,1194.8,327.1,683.5,184.3
Maine,ME,999000,1191.1,27.7,1.4,2.8,7.8,15.7,1163.4,307.6,766.1,89.7
Maryland,MD,3191000,1890.5,154,5.7,8.7,42,97.6,1736.4,403.8,1137.5,195.1
Massachusetts,MA,5161000,1629.7,62.1,1.8,5,25.8,29.5,1567.5,410.4,853.5,303.6
Michigan,MI,7991000,2780.4,226.6,3.4,14.2,96.5,112.5,2553.8,721.3,1633.1,199.4
Minnesota,MN,3475000,1547.1,48.2,0.9,3.6,29.6,14.1,1498.9,383.1,972.1,143.7
Mississippi,MS,2248000,752.2,92.5,7.3,4.3,8,73,659.7,227.5,377.3,54.9
Missouri,MO,4346000,2309.2,185.4,5.5,12.6,79.9,87.3,2123.7,603.7,1317.9,202.1
Montana,MT,709000,1983.8,55,2.1,7.3,19.9,25.7,1928.8,414.8,1289.6,224.4
Nebraska,NE,1484000,1292,42.9,1.5,6.3,18.5,16.6,1249.1,262.4,865.6,121
Nevada,NV,335000,3708.4,212.2,8.1,19.7,106.6,77.9,3496.1,886.9,2105.7,503.6
New Hampshire,NH,632000,999.7,28.2,2.4,3.5,3.5,18.8,971.5,281.8,604.6,85.1
New Jersey,NJ,6245000,1743.8,126.1,3,8.2,45.1,69.8,1617.7,510.3,873,234.4
New Mexico,NM,1020000,2254.1,131.2,6.3,12.5,41.1,71.4,2122.9,515.3,1383.2,224.4
New York,NY,0,0,0,0,0,0,0,0,0,0,0
North Carolina,NC,4731000,1231,201.5,7.9,7.7,17.7,168.3,1029.5,310.8,626.5,92.1
North Dakota,ND,642000,954.4,19.9,1.2,4.2,6.2,8.3,934.4,189.6,661.4,83.5
Ohio,OH,10097000,1565.8,82.9,3.2,5.2,37.9,36.6,1482.9,396.3,950.2,136.5
Oklahoma,OK,2448000,1978.6,101.2,5.1,7.4,39.7,48.9,1877.4,513.2,1164.3,200
Oregon,OR,1864000,2058.2,78.4,2.9,9.3,38.3,27.8,1979.8,443.6,1387.9,148.3
Pennsylvania,PA,11376000,1134.2,104.2,2.7,8.3,39.9,53.3,1029.9,327.9,565.7,136.3
Rhode Island,RI,865000,1908,46.5,0.8,2.1,12.5,31.1,1861.5,462.7,1131.6,267.3
South Carolina,SC,2436000,1676.8,123.6,10.1,7.1,19.2,87.2,1553.2,504.9,931.7,116.6
South Dakota,SD,721000,1103.9,38.7,3.3,5.8,8.6,20.9,1065.2,255.6,715.7,93.9
Tennessee,TN,3634000,1385.1,103.7,6.1,6.6,34.8,56.1,1281.4,461.5,661.8,158.1
Texas,TX,10116000,2147.8,153.4,7.2,9.3,31.6,105.3,1994.4,573.5,1253,167.9
Utah,UT,967000,2332.9,57.3,2.3,7.9,22.4,24.7,2275.6,431.2,1634.3,210
Vermont,VT,390000,1025.9,14.6,0.3,6.2,4.6,3.6,1011.3,374.6,546.9,89.7
Virginia,VA,4177000,1763.7,184.8,8.7,8.2,25.6,142.4,1578.9,431.7,1018.7,128.4
Washington,WA,3006000,2333.7,63.6,2.5,6.3,30.3,24.6,2270.1,488.9,1603.9,177.3
West Virginia,WV,1773000,746.9,64.6,3.7,4.2,15.4,41.3,682.3,216.4,394.6,71.3
Wisconsin,WI,4092000,1178.2,28.7,0.9,2.4,8.5,16.9,1149.5,214,831.9,103.6
Wyoming,WY,365000,1607.4,42.7,3.3,7.7,14,17.8,1564.7,284.4,1144.4,135.9
