state,stateAbbr,population,index,violent,murder,rape,robbery,aggrate,property,burglary,larceny,gta
Alabama,AL,4253000,4848.1,632.4,11.2,31.7,185.8,403.7,4215.7,1024.8,2844.3,346.6
Alaska,AK,604000,5753.8,770.9,9.1,80.3,155.1,526.3,4982.9,836.9,3624.3,521.7
Arizona,AZ,4218000,8213.6,713.5,10.4,33.6,173.8,495.7,7500.1,1416.8,4925.6,1157.7
Arkansas,AR,2484000,4690.9,553.2,10.4,37.2,125.7,379.8,4137.7,996.9,2815.4,325.4
California,CA,31589000,5831.1,966,11.2,33.4,331.2,590.3,4865.1,1120.3,2856.9,887.9
Colorado,CO,3747000,5396.3,440.2,5.8,39.5,96.2,298.7,4956.1,934.1,3634.5,387.5
Connecticut,CT,3275000,4503.2,405.9,4.6,23.7,163.2,214.4,4097.3,888.4,2668.7,540.2
Delaware,DE,717000,5158.7,725,3.5,80.2,198.7,442.5,4433.8,905.3,3114.2,414.2
District Of Columbia,DC,554000,12173.5,2661.4,65,52.7,1239,1304.7,9512.1,1838.4,5833.8,1839.9
Florida,FL,14166000,7701.5,1071,7.3,48.6,299.9,715.1,6630.6,1522.4,4322.4,785.8
Georgia,GA,7201000,6003.6,657.1,9.5,35.3,205.2,407.1,5346.5,1059.9,3678.3,608.4
Hawaii,HI,1187000,7198.6,295.6,4.7,28.3,130.8,131.8,6902.9,1165.3,5046.9,690.7
Idaho,ID,1163000,4401.5,322,4.1,28.4,24,265.5,4079.4,779.8,3057.6,242
Illinois,IL,11830000,5455.7,996.1,10.3,36.5,330.8,618.5,4459.6,917.6,3019,523
Indiana,IN,5803000,4631.5,524.7,8,33.3,135.2,348.3,4106.8,821.6,2819.5,465.7
Iowa,IA,2842000,4101.9,354.4,1.8,21.8,53,277.8,3747.5,757.5,2767.2,222.8
Kansas,KS,2565000,4886.9,420.7,6.2,36.6,108.2,269.8,4466.2,1068.4,3074.3,323.5
Kentucky,KY,3860000,3351.7,364.7,7.2,31.9,103.7,222,2987,735.5,1992.4,259.1
Louisiana,LA,4342000,6676,1007.4,17,42.7,268.6,679,5668.6,1231.7,3838.5,598.4
Maine,ME,1241000,3284.7,131.4,2,21.4,26.9,81.1,3153.3,726.4,2292,134.8
Maryland,MD,5042000,6294.8,986.9,11.8,42.2,423.1,509.7,5307.9,1057.5,3532.8,717.6
Massachusetts,MA,6074000,4341.6,687.2,3.6,29,150.4,504.2,3654.4,817.7,2232.2,604.5
Michigan,MI,9549000,5182.8,687.8,8.5,62,187.3,430.1,4495,909.7,2939.7,645.5
Minnesota,MN,4610000,4497.3,356.1,3.9,56.2,123.7,172.2,4141.2,797.3,3002.5,341.5
Mississippi,MS,2697000,4514.5,502.8,12.9,39.1,130.9,319.9,4011.7,1131.1,2520.1,360.5
Missouri,MO,5324000,5120.5,663.8,8.8,32.1,204,418.8,4456.8,932.6,3050.9,473.3
Montana,MT,870000,4797.4,171.4,4,26.6,29.1,111.7,4626,581.6,3769.8,274.6
Nebraska,NE,1637000,4544.5,382,2.9,19.4,65.2,294.5,4162.5,631.9,3179.2,351.4
Nevada,NV,1530000,6579.3,945.2,10.7,61.2,324.6,548.7,5634.2,1322.5,3566.2,745.4
New Hampshire,NH,1148000,2655.4,114.5,1.8,29,27.4,56.3,2540.9,418.6,1977.2,145.1
New Jersey,NJ,7945000,4703.7,599.8,5.1,24.3,283,287.4,4103.9,875.2,2597.1,631.6
New Mexico,NM,1685000,6428,819.2,8.8,56.6,154.5,599.3,5608.8,1447.1,3648.5,513.2
New York,NY,18136000,4560.1,841.9,8.5,23.7,399.7,410,3718.3,808.1,2344.4,565.7
North Carolina,NC,7195000,5639.5,646.4,9.4,32.2,179.2,425.5,4993.1,1417.6,3264.9,310.6
North Dakota,ND,641000,2866.3,86.7,0.9,22.8,10,53,2779.6,350.7,2249.8,179.1
Ohio,OH,11151000,4405.2,482.5,5.4,43.4,178.7,255,3922.7,838.8,2669,414.9
Oklahoma,OK,3278000,5596.8,664.1,12.2,44.6,115.6,491.8,4932.7,1271.9,3164.3,496.4
Oregon,OR,3141000,6563.9,522.4,4.1,41.7,137.9,338.7,6041.5,1102.8,4236.7,702
Pennsylvania,PA,12072000,3364.9,427.3,6.3,25.2,189.3,206.5,2937.6,561.8,1963.1,412.7
Rhode Island,RI,990000,4244.5,368,3.3,27,92.3,245.4,3876.6,932.7,2503,440.8
South Carolina,SC,3673000,6063.8,981.9,7.9,47.3,175.9,750.8,5081.8,1254.6,3441.8,385.4
South Dakota,SD,729000,3060.6,207.5,1.8,41,25.9,138.8,2853.1,540.7,2191.5,120.9
Tennessee,TN,5256000,5362.7,771.5,10.6,47.1,223.2,490.5,4591.2,1143.2,2799.5,648.5
Texas,TX,18724000,5684.3,663.9,9,45.7,179.8,429.3,5020.5,1082.3,3377.8,560.4
Utah,UT,1951000,6090.8,328.8,3.9,42.7,67.1,215.1,5762,800.8,4572.1,389.1
Vermont,VT,585000,3433.7,118.3,2.2,28.2,10.9,76.9,3315.4,760.9,2418.8,135.7
Virginia,VA,6618000,3989.2,361.5,7.6,27.2,131.7,194.9,3627.7,595.2,2740,292.6
Washington,WA,5431000,6269.8,484.3,5.1,59.2,132.7,287.3,5785.5,1091.2,4140.3,554
West Virginia,WV,1828000,2458.2,210.2,4.9,21.2,42.7,141.4,2248,565,1516.6,166.3
Wisconsin,WI,5123000,3885.7,281.1,4.3,23.3,105.1,148.4,3604.6,613.2,2627.8,363.6
Wyoming,WY,480000,4320.2,254.2,2.1,34.4,17.9,199.8,4066,612.1,3286.3,167.7
