state,stateAbbr,population,index,violent,murder,rape,robbery,aggrate,property,burglary,larceny,gta
Alabama,AL,3510000,2394.5,313.2,14.1,18.8,68.6,211.7,2081.3,789.6,1096.7,195
Alaska,AK,325000,4478.5,370.5,9.5,41.8,66.5,252.6,4108,970.8,2639.1,498.2
Arizona,AZ,1945000,5933.3,448.9,7.3,33.4,120.8,287.4,5484.4,1615.9,3438.7,429.8
Arkansas,AR,1978000,2352.4,244.7,10.4,17.3,54.8,162.2,2107.7,735.1,1258.4,114.2
California,CA,20468000,6413.1,540.7,8.8,39.7,238.6,253.7,5872.4,1949.2,3242,681.3
Colorado,CO,2357000,5593.6,405.4,8.3,38.4,141.4,217.3,5188.2,1580.1,3018.8,589.3
Connecticut,CT,3082000,3403.1,199.2,3.2,8.9,79.1,107.9,3203.9,956.8,1778,469.1
Delaware,DE,565000,4523.7,386,6.9,14.2,130.1,234.9,4137.7,1249.4,2397.2,491.2
District Of Columbia,DC,748000,7865.2,1685.4,32.8,95.5,1036.2,521,6179.8,1711.4,3690.2,778.2
Florida,FL,7259000,5376.9,554.5,12.7,26.4,189.4,326,4822.3,1605.1,2851.1,366.1
Georgia,GA,4720000,3051.8,377.6,18.5,20.8,134.3,204,2674.2,1081.7,1285.8,306.7
Hawaii,HI,809000,4612.5,155.5,6.8,21.3,55.4,72.1,4457,1335.6,2723,398.4
Idaho,ID,756000,3420.4,143.5,3.8,15.6,20.6,103.4,3276.9,754.6,2338.4,183.9
Illinois,IL,11251000,3791.1,508.1,8.8,23.3,260.1,215.9,3283.1,846.1,1994,443
Indiana,IN,5291000,3409.7,245.1,6.1,22.5,111.1,105.4,3164.6,948.4,1850.7,365.5
Iowa,IA,2883000,2531.7,87.4,1.7,8.6,26.7,50.3,2444.4,521.6,1753.7,169.1
Kansas,KS,2258000,3404.8,209.8,4,17.8,68.9,119.1,3195,906.6,2056.4,232
Kentucky,KY,3299000,2233.6,225.7,9.8,15.7,83.2,117.1,2007.9,650.2,1075.9,281.8
Louisiana,LA,3720000,3382.5,422.4,13.2,23,133.4,252.8,2960.2,903.1,1700.6,356.4
Maine,ME,1029000,2590.6,111.1,5.3,7.8,21.1,76.9,2479.5,792.5,1524.6,162.4
Maryland,MD,4056000,4628.7,651.2,12.5,26,324.1,288.6,3977.5,1111.7,2331.6,534.2
Massachusetts,MA,5787000,4107.1,295.2,3.7,13.5,152.8,125.2,3811.8,1242.3,1597.1,972.4
Michigan,MI,9082000,5363.6,555.2,11,29.3,289.3,225.6,4808.3,1582.3,2752,473.9
Minnesota,MN,3896000,3354.1,174.5,2.4,14.7,84.4,72.9,3179.6,927.2,1915.1,337.3
Mississippi,MS,2263000,1805.3,312.7,15.4,17.5,39.9,240,1492.6,540,832,120.5
Missouri,MO,4753000,3933.2,383.4,8.3,25.5,175.6,174,3549.8,1100.6,1978.8,470.5
Montana,MT,719000,3205.3,150.1,2.5,10.8,33.2,103.5,3055.2,708.2,2100,247
Nebraska,NE,1525000,2628.5,173,2.9,13.9,52.7,103.5,2455.5,556.7,1637.2,261.6
Nevada,NV,527000,5850.1,429.6,13.5,34,190.1,192,5420.5,1757.5,3099.6,563.4
New Hampshire,NH,771000,1991.2,63.7,1.7,7,13.4,41.6,1927.5,596.6,1206.1,124.8
New Jersey,NJ,7367000,3840,374.3,6.5,16.9,210.1,140.8,3465.7,1194.3,1685.3,586.2
New Mexico,NM,1065000,4948.4,431.7,11.5,33.7,121.6,265,4516.6,1469.5,2667.5,379.6
New York,NY,18366000,4380.9,754.3,11,22.9,470.4,250.1,3626.6,1306.1,1748.3,572.1
North Carolina,NC,5214000,2659.1,423.6,13.5,14.6,66.2,329.3,2235.5,812.7,1257.7,165.2
North Dakota,ND,632000,1987.8,45.9,1.3,4.9,8.9,30.9,1941.9,357.1,1494.1,90.7
Ohio,OH,10783000,3439.4,299.4,7.5,19.9,160.6,111.4,3140,901.3,1796.1,442.6
Oklahoma,OK,2634000,3105.6,238.8,7,19,64.6,148.1,2866.9,993,1605.5,268.4
Oregon,OR,2182000,5048.4,297.6,5.5,26.3,109.5,156.3,4750.8,1468.8,2895.4,386.6
Pennsylvania,PA,11926000,2410.8,277.1,6,16,149.3,105.8,2133.6,749.1,1046,338.5
Rhode Island,RI,968000,4553,250.4,1.3,8.3,81.7,159.1,4302.6,1124,2282.4,896.2
South Carolina,SC,2665000,3264.7,386.9,16.8,22.5,66.1,281.6,2877.7,1116.7,1538.6,222.4
South Dakota,SD,679000,2127.5,111.3,1.2,11.3,15.6,83.2,2016.2,472.8,1436.1,107.4
Tennessee,TN,4031000,2646.3,319,11.3,19.9,101.1,186.7,2327.3,894.3,1132.2,300.9
Texas,TX,11649000,3914.4,354.4,12.4,23.5,120.3,198.2,3560,1215.7,2005.7,338.6
Utah,UT,1126000,4206.4,183.2,2.9,18.3,62.3,99.7,4023.2,913.2,2832.2,277.7
Vermont,VT,462000,2204.5,96.3,1.7,10.8,10.6,73.2,2108.2,738.3,1255.8,114.1
Virginia,VA,4764000,3386.4,346,11.8,21.7,113.5,199,3040.4,896.9,1862.1,281.4
Washington,WA,3443000,4703.2,250.6,4.2,21.8,87.6,137,4452.7,1381.4,2739.9,331.3
West Virginia,WV,1781000,1436.5,129.1,6.1,8.2,31.6,83.2,1307.4,413,784.7,109.7
Wisconsin,WI,4520000,2950.9,96.4,2.8,8.3,36.7,48.6,2854.5,638.5,1983.2,232.7
Wyoming,WY,345000,3032.2,148.1,4.1,13.9,33.9,96.2,2884.1,596.2,2084.1,203.8
