state,stateAbbr,population,index,violent,murder,rape,robbery,aggrate,property,burglary,larceny,gta
Alabama,AL,3959000,4101.1,416,9.2,23.5,98.4,284.9,3685,1073.1,2381.4,230.5
Alaska,AK,479000,6018.6,613.8,13.8,101.5,97.1,401.5,5404.8,1194.2,3566.8,643.8
Arizona,AZ,2963000,6391.6,494.2,7.2,41.9,132.4,312.7,5897.4,1668.6,3871.8,357
Arkansas,AR,2328000,3500.6,297.7,7.6,25.2,69.3,195.5,3202.9,961.3,2067.9,173.7
California,CA,25174000,6677.4,772.6,10.5,48,340.9,373.1,5904.9,1829.1,3444.5,631.2
Colorado,CO,3139000,6627.1,476.4,6.4,41.9,126.4,301.7,6150.7,1532.4,4245.7,372.7
Connecticut,CT,3138000,4977.8,375,4.1,20,200.6,150.3,4602.8,1274.3,2849.6,478.9
Delaware,DE,606000,5466,453.1,4.1,37.8,115.3,295.9,5012.9,1223.4,3450.2,339.3
District Of Columbia,DC,623000,9273.8,1915.4,29.4,65.2,1235.6,585.2,7358.4,2003.7,4719.9,634.8
Florida,FL,10680000,6781.1,826.7,11.2,48.4,263.4,503.7,5954.4,1796.8,3752.8,404.8
Georgia,GA,5732000,4505.3,456.7,8.4,35.3,144.2,268.8,4048.5,1266.8,2501.7,280
Hawaii,HI,1023000,5809.6,252.1,5.6,29.4,130,87.1,5557.5,1332.9,3804.5,420
Idaho,ID,989000,3865.8,238.7,3.5,18.3,27.3,189.6,3627.1,930.8,2525.7,170.6
Illinois,IL,11486000,5541.4,728.1,9.7,31.5,318.9,368,4813.3,1292.4,2952,569
Indiana,IN,5479000,4129.8,283.8,5.2,27.5,99.9,151.1,3846,988.3,2535.7,322.1
Iowa,IA,2905000,3919.1,181.1,2.3,12.6,41,125.2,3737.9,915.6,2664.4,157.9
Kansas,KS,2425000,4529.8,326.6,5.6,25.9,84,211,4203.2,1167.8,2834.4,201
Kentucky,KY,3714000,3434.8,322.2,9.8,22,87.1,203.3,3112.6,977,1920.4,215.2
Louisiana,LA,4438000,5026.6,640.9,14.2,39.9,190,396.8,4385.7,1292.5,2782.6,310.6
Maine,ME,1146000,3681.2,159.6,2.1,16.8,27.1,113.5,3521.6,996.1,2357.9,167.5
Maryland,MD,4304000,5357,807.1,8.5,32.8,347.4,418.4,4549.9,1224.4,2961,364.5
Massachusetts,MA,5767000,5010.8,576.8,3.5,25.9,208.5,338.9,4434,1253.5,2321.5,858.9
Michigan,MI,9069000,6477.5,716.7,10,56.1,285.3,365.3,5760.8,1691.9,3331.3,737.6
Minnesota,MN,4144000,4034.2,190.9,1.7,22.4,79.6,87.2,3843.3,1075.6,2558.7,209
Mississippi,MS,2587000,3208.2,280.4,11.2,23.8,63.8,181.6,2927.7,1023.5,1762,142.1
Missouri,MO,4970000,4529.9,477.2,8.1,26.8,167.9,274.4,4052.7,1217.2,2517.9,317.5
Montana,MT,817000,4644.4,212.6,3.7,19.8,23.5,165.6,4431.8,908.2,3294.7,228.9
Nebraska,NE,1597000,3787.7,217.7,2.6,21.2,49.8,144,3569.9,777,2631.6,161.4
Nevada,NV,891000,6701.3,655.2,12.8,51.3,307.2,284,6046.1,2011.4,3563.3,471.4
New Hampshire,NH,959000,3356.3,125.1,2,19.5,24.1,79.6,3231.2,821.9,2227.2,182.1
New Jersey,NJ,7468000,5163.4,553.1,5.3,30.3,269,248.4,4610.3,1237.2,2768.9,604.3
New Mexico,NM,1399000,6346.2,686.8,8.9,48,114,515.9,5659.4,1559.2,3793.9,306.3
New York,NY,17667000,5902.6,914.1,11.1,30,536.5,336.5,4988.5,1410.1,2854.7,723.7
North Carolina,NC,6082000,4183.7,409.6,8.1,21.9,79.6,300,3774.1,1189.5,2418.1,166.5
North Dakota,ND,680000,2675.4,53.7,2.1,12.5,7.8,31.3,2621.8,436.3,2056.3,129.1
Ohio,OH,10746000,4505.1,397.9,5.6,31.5,159.4,201.4,4107.2,1155.6,2607.1,344.6
Oklahoma,OK,3298000,4929.1,423.4,7.6,37.8,128.7,249.3,4505.7,1509.5,2549.6,446.7
Oregon,OR,2662000,6250.9,487.8,4.1,40.5,170.3,273,5763,1745.8,3714.5,302.8
Pennsylvania,PA,11895000,3195.5,342.8,4.9,20.6,172.3,145,2852.6,810.6,1726.8,315.2
Rhode Island,RI,955000,5005.4,355.2,2.7,16.8,112.9,222.8,4650.3,1332.1,2666.3,651.8
South Carolina,SC,3264000,4770.9,616.8,9.8,35,104.9,467,4154.1,1294.8,2619.5,239.8
South Dakota,SD,700000,2547.6,120,2.1,17,15.9,85,2427.6,545.7,1779,102.9
Tennessee,TN,4685000,4011.7,402,8.8,35.9,172.8,184.6,3609.6,1205.9,2087.2,316.5
Texas,TX,15724000,5907.3,512.2,14.2,40.3,189.3,268.4,5395,1667.5,3202.6,524.9
Utah,UT,1619000,5117.9,256,3.5,24.9,64.3,163.3,4862,1015.8,3610.4,235.7
Vermont,VT,525000,4132.8,132.6,3.6,40.8,27.8,60.4,4000.2,1090.3,2723,186.9
Virginia,VA,5550000,3961.6,292.5,7,24.7,110.5,150.4,3669,919.9,2571.4,177.7
Washington,WA,4300000,6077.7,371.8,4.9,44.7,105.4,216.7,5706,1640.1,3812.9,253
West Virginia,WV,1965000,2419,171.8,4.9,13.4,44.2,109.3,2247.2,684.7,1380.9,181.6
Wisconsin,WI,4751000,4255.7,190.9,2.8,18.1,71.9,98.1,4064.8,883.6,2976.9,204.3
Wyoming,WY,514000,4013.8,237.2,5.8,21.4,29.8,180.2,3776.7,705.4,2905.1,166.1
