state,stateAbbr,population,index,violent,murder,rape,robbery,aggrate,property,burglary,larceny,gta
Alabama,AL,4319000,4889.7,564.5,9.9,32.3,160.5,361.8,4325.3,1013.8,2954.8,356.7
Alaska,AK,609000,5272.6,701.1,8.9,66.2,106.4,519.7,4571.4,702.1,3412.2,457.1
Arizona,AZ,4555000,7195,623.7,8.2,32.8,165.7,417.1,6571.3,1318.9,4282,970.4
Arkansas,AR,2523000,4718.7,526.9,9.9,43.5,111.5,361.9,4191.8,1013.4,2863.8,314.6
California,CA,32268000,4865.3,798.3,8,31.6,252.5,506.2,4067.1,927.4,2430.9,708.8
Colorado,CO,3893000,4650.4,363.2,4,43.1,83.3,232.8,4287.2,796.1,3077.3,413.7
Connecticut,CT,3270000,3984.3,390.9,3.8,22.6,152.9,211.6,3593.4,738.3,2410.4,444.7
Delaware,DE,732000,5138.3,677.9,2.5,65,179.5,430.9,4460.4,767.8,3184.7,507.9
District Of Columbia,DC,529000,9839.1,2024.2,56.9,41.2,850.9,1075.2,7814.9,1316.3,5067.9,1430.8
Florida,FL,14654000,7271.8,1023.6,6.9,51.9,276.1,688.7,6248.2,1459.8,4056.9,731.5
Georgia,GA,7486000,5791.7,606.6,7.5,31.1,206.7,361.3,5185.1,1086.3,3503.4,595.4
Hawaii,HI,1187000,6022.9,277.9,4,31.3,118.2,124.5,5745,1073.4,4126.7,544.9
Idaho,ID,1210000,3925.2,256.8,3.2,28.9,19.6,205,3668.4,758.3,2709.4,200.7
Illinois,IL,11896000,5141.1,861.4,9.2,37.1,278.4,536.7,4279.7,870.5,2943.3,465.9
Indiana,IN,5864000,4466.3,514.6,7.3,32.9,132.4,342.1,3951.6,821.7,2701.9,428
Iowa,IA,2852000,3815.8,310,1.8,20.3,55.9,232,3505.8,771.5,2500,234.3
Kansas,KS,2595000,4563.5,409.2,6,42.4,93.3,267.6,4154.3,970.6,2933.5,250.1
Kentucky,KY,3908000,3127,316.9,5.8,33.4,90.7,187,2810.1,681.6,1880.4,248.1
Louisiana,LA,4352000,6449.2,855.9,15.7,41.3,239.1,559.7,5593.4,1239.3,3748,606
Maine,ME,1242000,3131.7,120.8,2,20.5,20.7,77.6,3011,663.5,2215.2,132.2
Maryland,MD,5094000,5653.1,846.6,9.9,35.6,336.8,464.4,4806.5,940.7,3263.8,602
Massachusetts,MA,6118000,3675.2,644.2,1.9,26.9,109.1,506.2,3031,661.8,1887.8,481.4
Michigan,MI,9774000,4916.9,590,7.8,51.9,152.8,377.5,4326.9,825.9,2832.6,668.4
Minnesota,MN,4686000,4413.8,337.8,2.8,52.2,114.7,168.1,4076.1,752.6,2942.2,381.3
Mississippi,MS,2731000,4630.2,469,13.1,39,137,279.9,4161.3,1187.4,2632.3,341.6
Missouri,MO,5402000,4814.5,577.4,7.9,28.2,156.1,385.2,4237.1,868.2,2878,490.9
Montana,MT,879000,4408.8,132.1,4.8,19.5,20.4,87.5,4276.7,569.1,3459.7,247.9
Nebraska,NE,1657000,4283.8,438.4,3,24.5,66.2,344.7,3845.3,592.2,2918.7,334.4
Nevada,NV,1677000,6064.5,798.7,11.2,59.9,302.4,425.3,5265.8,1310.4,3167.1,788.3
New Hampshire,NH,1173000,2639.6,113.2,1.4,33.7,23.4,54.8,2526.4,393.2,1997.4,135.8
New Jersey,NJ,8053000,4057,492.6,4.2,21.5,210.6,256.4,3564.4,756.2,2297,511.2
New Mexico,NM,1730000,6906.5,853.3,7.7,50.4,171.4,623.7,6053.2,1452.4,3883.7,717.2
New York,NY,18137000,3910.9,688.6,6,22.5,309.3,350.8,3222.4,652.3,2130.6,439.4
North Carolina,NC,7425000,5491.5,607,8.3,31.6,172.6,394.5,4884.5,1346.8,3208.5,329.2
North Dakota,ND,641000,2711.4,87.2,0.9,24.8,6.4,55.1,2624.2,358.8,2085.3,180
Ohio,OH,11186000,4514.6,435.4,4.7,40.8,158.7,231.2,4079.2,849,2824.1,406
Oklahoma,OK,3317000,5494.7,559.5,6.9,45.7,103.9,403,4935.1,1206.4,3287.3,441.5
Oregon,OR,3243000,6269.8,444.4,2.9,40.3,117.5,283.7,5825.3,1033.2,4197.6,594.5
Pennsylvania,PA,12020000,3431.5,442.1,5.9,27.4,156.3,252.6,2989.4,567.5,2054,367.8
Rhode Island,RI,987000,3654.4,333.5,2.5,36.8,71.6,222.6,3320.9,717.6,2178.2,425
South Carolina,SC,3760000,6134,990.3,8.4,48.9,176.2,756.9,5143.7,1232,3492.7,419
South Dakota,SD,738000,3245,197.4,1.4,48.4,23.3,124.4,3047.6,553.9,2377.4,116.3
Tennessee,TN,5368000,5511.8,789.7,9.5,56.9,214,509.2,4722.1,1171.7,2921.8,628.6
Texas,TX,19439000,5480.5,602.5,6.8,41.2,157,397.5,4878,1034.3,3320.4,523.3
Utah,UT,2059000,5995.5,334,2.4,47.5,68.4,215.8,5661.4,890.5,4326.9,444.1
Vermont,VT,589000,2828.2,119.7,1.5,26.5,13.4,78.3,2708.5,613.1,1959.6,135.8
Virginia,VA,6734000,3876.2,345.2,7.2,27,124.5,186.5,3530.9,571.4,2679,280.5
Washington,WA,5610000,5926.3,440.7,4.3,51.4,120,265,5485.6,1106.3,3811.5,567.8
West Virginia,WV,1816000,2469.1,218.7,4.1,19.5,43.1,151.9,2250.4,586.3,1483.1,181
Wisconsin,WI,5170000,3677.6,270.6,4,20.3,100.9,145.5,3407.1,570.7,2533.9,302.5
Wyoming,WY,480000,4180.8,255.2,3.5,28.5,17.7,205.4,3925.6,624.6,3166.3,134.8
