state,stateAbbr,population,index,violent,murder,rape,robbery,aggrate,property,burglary,larceny,gta
Alabama,AL,3566000,1999,232.4,11.8,11.1,41,168.5,1766.6,628.2,967.7,170.7
Alaska,AK,277000,3320.9,175.5,10.5,21.7,52.7,90.6,3145.5,747.3,1915.9,482.3
Arizona,AZ,1670000,4874.4,263.6,6.3,18.7,86.7,151.9,4610.8,1167.4,3022.2,421.2
Arkansas,AR,2012000,1958.5,216.7,8.1,17.3,39.6,151.7,1741.8,569.7,1068.9,103.2
California,CA,19221000,5721.1,422.9,6,29.9,192.5,194.6,5298.2,1644.5,3032.3,621.4
Colorado,CO,2048000,3862.6,263,5.4,26.1,96.5,135,3599.6,917,2262,420.6
Connecticut,CT,2959000,2890.4,129.3,2.5,8,45,73.7,2761.1,964.4,1420.5,376.1
Delaware,DE,534000,3165.5,241.2,8.4,14,105.1,113.7,2924.3,885,1619.3,420
District Of Columbia,DC,809000,7868.1,1505.6,24.1,32.1,1065.8,383.6,6362.5,2218.8,2740.3,1403.5
Florida,FL,6160000,4498.5,453.1,11.9,18.1,159.9,263.3,4045.4,1327,2398.5,319.9
Georgia,GA,4588000,2156.1,215.8,13.9,13.5,47.5,141,1940.3,660.8,1043.1,236.4
Hawaii,HI,778000,4438.3,85.1,2.8,7.2,22.6,52.4,4353.2,1363.8,2483.7,505.8
Idaho,ID,705000,2121.4,73.5,2.3,8.4,11.8,51.1,2047.9,470.6,1459.1,118.2
Illinois,IL,10974000,3237.9,408,8.1,16.4,211.5,172,2829.8,683.6,1705.2,441
Indiana,IN,5067000,2920.2,201.9,4.8,14.6,101,81.4,2718.4,743.9,1562.5,411.9
Iowa,IA,2748000,2143.7,68.5,1.7,6.8,25,35,2075.2,474.1,1436.5,164.6
Kansas,KS,2303000,2723.7,150.4,3.7,13.2,47.5,85.8,2573.3,615.6,1752.2,205.5
Kentucky,KY,3229000,1991,164.7,8.9,10.2,60.1,85.4,1826.4,522.5,971.7,332.2
Louisiana,LA,3732000,2507.3,314.6,9.5,16.4,90.3,198.4,2192.7,678,1232.1,282.6
Maine,ME,979000,1682.1,64.7,3,6.7,8.8,46.2,1617.5,513.7,970.1,133.7
Maryland,MD,3757000,4579.7,623,9.3,26,275.6,312,3956.8,1301.2,2050.6,605
Massachusetts,MA,5437000,3067.9,164,3.5,9.5,74.3,76.7,2903.9,868.3,1229,806.6
Michigan,MI,8740000,4170.6,426.7,7.7,31.3,209.6,178.2,3743.9,1163.2,2150.5,430.2
Minnesota,MN,3646000,2963.3,140.2,2.2,10.9,81.2,45.9,2823.1,801.8,1670.2,351.1
Mississippi,MS,2342000,1087.2,145,9.9,7.6,13.2,114.3,942.2,313.7,556.4,72
Missouri,MO,4627000,3584.2,328.9,8.8,23.3,153.6,143.2,3255.3,976.6,1832.3,446.4
Montana,MT,693000,2542,88,3.3,7.2,18.2,59.3,2454,567.8,1687.7,198.4
Nebraska,NE,1437000,2408,146.3,2.3,7.2,49.6,87.3,2261.7,507.4,1451.8,302.4
Nevada,NV,453000,4462,278.4,5.5,17.4,142.8,112.6,4183.7,1282.1,2451.9,449.7
New Hampshire,NH,702000,1297.9,39.7,1.4,2.7,10.3,25.4,1258.1,371.1,745.7,141.3
New Jersey,NJ,7078000,3254.3,236.1,5.1,11.3,123.6,96.1,3018.2,1011.9,1487.8,518.5
New Mexico,NM,1015000,3797,250.5,6.4,21.1,50.5,172.5,3546.5,970.2,2245.5,330.7
New York,NY,18113000,4579.3,543.9,6.5,14,330.5,192.9,4035.4,1385.3,2071.1,579
North Carolina,NC,5135000,2006.9,351,10.2,11.3,37.6,291.9,1655.9,539.7,962.8,153.3
North Dakota,ND,625000,1405.1,27.7,1.1,4.6,5.8,16.2,1377.4,239,1057.8,80.6
Ohio,OH,10591000,2780.9,200.4,5.3,12.4,102,80.7,2580.5,659.4,1540.9,380.2
Oklahoma,OK,2518000,2621.3,177.6,6.4,15.2,49.3,106.7,2443.7,726.4,1502.1,215.2
Oregon,OR,2008000,3734,197,3.2,17.2,76.5,100,3537,945.1,2321.3,270.6
Pennsylvania,PA,11712000,1937,176.8,4.1,10.3,85.2,77.3,1760.2,556.3,923.9,280
Rhode Island,RI,913000,3885.5,137.3,2.4,3.7,49.3,81.9,3748.2,1089.6,1893.1,765.5
South Carolina,SC,2692000,2175.6,217.4,13.6,15,42.8,146,1958.2,708.5,1065.9,183.8
South Dakota,SD,657000,1753.1,85.7,3.8,10.2,19.3,52.4,1667.4,430.1,1133.8,103.5
Tennessee,TN,3976000,2174.7,220.5,8.7,11.6,71.2,129,1954.2,719.7,967.1,267.4
Texas,TX,10972000,3478.3,270.2,10.6,14.5,82.9,162.3,3208.1,939.6,1957.1,311.4
Utah,UT,1034000,3581.9,116.2,2.9,11.1,33.7,68.5,3465.8,741.3,2469.2,255.2
Vermont,VT,422000,1212.6,37.2,2.6,7.3,6.2,21.1,1175.4,496,593.6,85.8
Virginia,VA,4597000,2887.6,278.9,10.3,15.6,65.8,187.2,2608.7,786.4,1559.9,262.3
Washington,WA,3276000,3965,212.8,3.6,17.1,98.4,93.7,3752.2,1019.5,2435.6,297.1
West Virginia,WV,1805000,1165,108.5,5.5,4.4,25.5,73.2,1056.5,349.8,614.7,92
Wisconsin,WI,4213000,2386.3,80.7,2.2,6.2,33.1,39.2,2305.6,503.8,1597.7,204.1
Wyoming,WY,315000,2549.8,88.3,6.3,8.9,12.4,60.6,2461.6,545.1,1779.7,136.8
