state,stateAbbr,population,index,violent,murder,rape,robbery,aggrate,property,burglary,larceny,gta
Alabama,AL,3577000,3000.1,372.9,15,22.7,99.6,235.6,2627.2,1057.9,1308.7,260.6
Alaska,AK,337000,5239.8,453.1,13.6,49.3,88.4,301.8,4786.6,1166.8,2972.1,647.8
Arizona,AZ,2153000,8221.7,566.7,9.6,37.5,204.2,315.5,7654.9,2534,4518.6,602.3
Arkansas,AR,2062000,3300.7,316.2,11.2,23.9,80.7,200.5,2984.4,1075.2,1745.3,163.9
California,CA,20907000,6846.8,610.6,9.5,40.6,252.7,307.8,6236.2,2072,3525.5,638.8
Colorado,CO,2496000,6165.8,429.8,6,36.5,165.7,221.6,5736,1843.1,3354.2,538.6
Connecticut,CT,3088000,4407,228.1,3.3,11.2,92.3,121.4,4178.8,1353.9,2275,549.9
Delaware,DE,573000,5949.6,443.1,10.3,17.3,127.9,287.6,5506.5,1517.8,3459.9,528.8
District Of Columbia,DC,723000,7558,1603,38.3,77.6,1098.3,388.8,5954.9,1953.8,3458.4,542.7
Florida,FL,8090000,7387.3,677.6,14.7,36,275.2,351.8,6709.7,2287.3,3939.5,482.9
Georgia,GA,4882000,3912.4,442.2,17.8,27.1,176.5,220.8,3470.2,1462.4,1660.8,347.1
Hawaii,HI,847000,6071.7,208,8.3,26.1,121.6,52.1,5863.6,1784.8,3492.8,586.1
Idaho,ID,799000,4082.6,183.4,5.6,16,37.9,123.8,3899.2,1001.8,2683.5,214
Illinois,IL,11131000,5184.3,627.1,11.8,27.7,313.4,274.2,4557.1,1264.2,2761.5,531.4
Indiana,IN,5330000,4336.9,293.3,8,23.5,134.4,127.3,4043.6,1254.6,2396,393
Iowa,IA,2855000,3413.7,121,1.9,10.1,48.7,60.4,3292.6,791.5,2282.1,219.1
Kansas,KS,2270000,4300.4,276.3,6.9,19.7,107.8,141.9,4024.1,1268.6,2516.9,238.6
Kentucky,KY,3357000,2759.7,234,10.3,17.6,92.3,113.7,2525.7,830.1,1466.8,228.8
Louisiana,LA,3764000,3816.4,472.7,16,25.2,156.3,275.1,3343.7,1045.7,1956.2,341.7
Maine,ME,1047000,3600.2,137.5,2.9,8.7,27.9,98.1,3462.7,1318.9,1946,197.7
Maryland,MD,4094000,5650.1,719.1,11.7,29.8,360.6,316.9,4931,1402.9,2944.8,583.3
Massachusetts,MA,5800000,5382.9,388.7,4.4,15.6,212.4,156.3,4994.2,1549.8,2078.8,1365.6
Michigan,MI,9098000,6519.6,659.4,13,37.1,337.2,272,5860.2,1903.9,3331.6,624.7
Minnesota,MN,3917000,3931,207.3,3,17.7,104.1,82.5,3723.7,1121.8,2228.2,373.7
Mississippi,MS,2324000,2249.2,334.9,12.9,17.4,48,256.5,1914.3,755.7,1034.5,124.1
Missouri,MO,4777000,4788.1,452.4,9.8,26.9,216.7,199,4335.6,1471.3,2437.3,427.1
Montana,MT,735000,4083.8,162.4,4.2,12.2,35.6,110.3,3921.4,887.9,2750.5,283
Nebraska,NE,1543000,3344.3,239.6,3.6,18.9,91,126.2,3104.7,773.8,2053.5,277.5
Nevada,NV,573000,7827.1,682.4,14.8,45.2,277.8,344.5,7144.7,2452.5,4086,606.1
New Hampshire,NH,808000,3143.9,91.5,3.5,8.4,25.9,53.7,3052.5,820.4,1973,259
New Jersey,NJ,7330000,4771.7,403.4,6.8,19.7,216.6,160.3,4368.3,1429.4,2392.2,546.7
New Mexico,NM,1122000,5212.9,450.4,11.3,34.8,124.6,279.6,4762.6,1583.1,2873.4,306.1
New York,NY,18111000,5034,803,10.6,28.9,479.3,284.1,4231,1500.9,2155.4,574.8
North Carolina,NC,5363000,3511.2,488.9,11.7,15.5,92.3,369.4,3022.3,1186.9,1647.1,188.3
North Dakota,ND,637000,2160.1,50.1,1.4,7.8,12.9,27.9,2110,433,1544.7,132.3
Ohio,OH,10737000,4223.4,364.1,8.9,23.9,191.2,140.2,3859.3,1171.8,2285.1,402.4
Oklahoma,OK,2709000,4096,280.1,8.1,25,83.5,163.5,3815.9,1455.2,1999,361.7
Oregon,OR,2266000,6344.7,367.4,5.6,32.3,130.8,198.7,5977.3,1843.2,3665.5,468.7
Pennsylvania,PA,11835000,3053.5,315,6.7,17.8,159.5,131,2738.5,927.8,1435,375.7
Rhode Island,RI,937000,5114,282.9,3.8,7.4,91,180.7,4831.1,1296.1,2612,923.1
South Carolina,SC,2784000,4165.3,455.7,16.2,26.2,127.4,285.9,3709.5,1562.4,1864.7,282.4
South Dakota,SD,682000,2670.8,180.9,2.1,10.7,20.4,147.8,2489.9,597.1,1735.3,157.5
Tennessee,TN,4129000,3659.1,386.8,13.4,25.7,157.2,190.4,3272.4,1350.1,1575.6,346.7
Texas,TX,12050000,4787,390.1,13.7,28.9,164,183.5,4396.9,1543,2471.8,382.1
Utah,UT,1173000,4950.2,214.6,3.2,22.3,75.8,113.4,4735.6,1132.9,3272.9,329.8
Vermont,VT,470000,2874.7,75.1,3.4,12.3,13.8,45.5,2799.6,1019.4,1606.6,173.6
Virginia,VA,4908000,4187.9,356.8,10.6,25.9,127.4,193,3831.1,1140.9,2409.4,280.8
Washington,WA,3476000,6009.1,346.3,5.1,29,115.5,196.6,5662.8,1772.5,3484.8,405.5
West Virginia,WV,1791000,1769.3,137.4,6,10,35.2,86.1,1632,551.8,953.3,126.9
Wisconsin,WI,4566000,3641.1,140.4,3,11.3,66.3,59.9,3500.7,836.9,2417.8,246.1
Wyoming,WY,359000,3650.4,144.6,5,15.3,42.6,81.6,3505.8,827.3,2464.1,214.5
