state,stateAbbr,population,index,violent,murder,rape,robbery,aggrate,property,burglary,larceny,gta
Alabama,AL,4118000,4627.8,590.8,10.2,31,133.9,415.7,4037,1146.8,2592.8,297.5
Alaska,AK,527000,4779.9,497.7,8,52.9,67.6,369.3,4282.2,826.9,3000.2,455
Arizona,AZ,3556000,8059.7,599.6,6.7,36.2,139,417.7,7460.2,1667.2,5106.1,686.9
Arkansas,AR,2406000,4555.7,473.7,8.4,38.4,110.6,316.3,4082,1194.4,2621.9,265.6
California,CA,29063000,6763.4,977.7,10.9,41.2,331.8,593.8,5785.8,1412.3,3346.5,1026.9
Colorado,CO,3317000,6039.4,471.4,4.4,36.2,90,340.8,5568,1250.4,3864.8,452.9
Connecticut,CT,3239000,5270,511.8,5.9,27.5,214.8,263.6,4758.2,1236,2824.4,697.8
Delaware,DE,673000,4865.2,556.5,5.1,84.5,138.8,328.1,4308.8,902.2,3015.5,391.1
District Of Columbia,DC,604000,10293.4,2141.9,71.9,30.8,1083.1,956.1,8151.5,1950.3,4828.5,1372.7
Florida,FL,12671000,8804.5,1109.4,11.1,49.7,404,644.6,7695.1,2282.8,4606.6,805.7
Georgia,GA,6436000,7073.1,735.8,12.7,48.9,271.1,403,6337.3,1712.5,3971.1,653.7
Hawaii,HI,1112000,6270.4,270.1,4.8,44.6,83.2,137.6,6000.3,1343.4,4260.3,396.6
Idaho,ID,1014000,3931,254.6,2.6,23.3,15,213.8,3676.3,872.1,2645.5,158.8
Illinois,IL,11658000,5639.2,845.9,9,35.7,335.7,465.4,4793.3,1076,3109.9,607.4
Indiana,IN,5593000,4440,406.5,6.3,32.3,101.4,266.5,4033.5,969.1,2673.2,391.1
Iowa,IA,2840000,4081.4,266.3,1.9,16.2,39,209.2,3815.1,846.9,2809.9,158.3
Kansas,KS,2513000,4982.8,400.8,5.5,36.5,99.8,259.1,4582,1188.7,3096,297.4
Kentucky,KY,3727000,3317.1,356.9,7.9,24.6,76.1,248.3,2960.2,819.1,1921.4,219.8
Louisiana,LA,4382000,6241.3,781.8,14.9,38.2,237.3,491.4,5459.5,1464.7,3473.5,521.3
Maine,ME,1222000,3583.6,137.2,3.2,18.7,24,91.2,3446.5,802.8,2460.5,183.2
Maryland,MD,4694000,5562.6,855.4,11.6,38,332.1,473.7,4707.2,1123.5,2919.5,664.2
Massachusetts,MA,5913000,5136,675,4.3,31.8,202.6,436.3,4461,1065.5,2484.8,910.7
Michigan,MI,9273000,5968.3,709.2,10.7,71.4,222.3,404.7,5259.2,1224.8,3311.7,722.6
Minnesota,MN,4353000,4383.2,288.3,2.5,31.3,94.8,159.6,4094.9,896.9,2818.1,379.9
Mississippi,MS,2621000,3515.3,311.2,9.7,38.8,78.3,184.4,3204.1,1145.3,1879.7,179.2
Missouri,MO,5159000,5127.1,632.6,7.9,30.8,195,398.9,4494.6,1135.8,2835.2,523.6
Montana,MT,806000,3997.5,116,2.9,18,17,78.2,3881.5,691.7,2964.3,225.6
Nebraska,NE,1611000,4091.6,279.5,2.5,23.6,52,201.4,3812.1,745.5,2880.4,186.2
Nevada,NV,1111000,6271.7,625.3,8.2,59.6,250.6,306.9,5646.4,1404.8,3662.1,579.6
New Hampshire,NH,1107000,3596.2,168.5,3.3,29.5,23.8,111.8,3427.7,736.9,2446.9,244
New Jersey,NJ,7736000,5269.4,609,5.1,31.7,273.3,299,4660.4,976.6,2764.7,919.2
New Mexico,NM,1528000,6573.8,703.9,8.6,45.9,105.2,544.1,5870,1711.1,3809,349.9
New York,NY,17950000,6293.2,1131.2,12.5,29.2,579.3,510.1,5162.1,1176.2,3033.2,952.7
North Carolina,NC,6571000,5253.8,546.4,8.9,29.9,133.5,374.1,4707.4,1503.5,2918.6,285.3
North Dakota,ND,660000,2560.9,63.2,0.6,11.8,9.2,41.5,2497.7,358.9,2025.8,113
Ohio,OH,10907000,4733.2,468.6,6,44.7,170.9,247.1,4264.6,1018.2,2811.1,435.3
Oklahoma,OK,3224000,5502.6,491.5,6.5,37.5,126.2,321.3,5011.1,1563.6,2862,585.5
Oregon,OR,2820000,6161.1,518.6,4.8,46.6,151.8,315.4,5642.5,1425.4,3677,540.1
Pennsylvania,PA,12040000,3360.4,378.6,6.3,24.6,149.7,198,2981.8,713.7,1798.7,469.4
Rhode Island,RI,998000,5224.8,378,4.9,26.7,112.4,234,4846.9,1206.9,2715.8,924.1
South Carolina,SC,3512000,5619.2,813.7,9.1,46.5,130.2,627.8,4805.6,1392.8,3070.8,342.1
South Dakota,SD,715000,2685.2,135.5,1.3,32,11.7,90.5,2549.7,474.7,1966,109
Tennessee,TN,4940000,4513.6,548.9,8.4,46,160.4,334.1,3964.7,1206.9,2224.9,532.9
Texas,TX,16991000,7926.9,658.5,11.9,46.8,223.1,376.6,7268.4,2014.9,4365,888.5
Utah,UT,1707000,5682.1,258.8,2.6,28.6,52.6,174.9,5423.4,897,4288.8,237.6
Vermont,VT,567000,4088.5,132.8,1.9,23.1,18,89.8,3955.7,1029.1,2727.7,198.9
Virginia,VA,6098000,4211.4,312.5,7.9,26.9,106.5,171.3,3898.9,756.9,2831.2,310.9
Washington,WA,4761000,6593.8,471.7,4.4,61.7,140.1,265.5,6122.1,1545.1,4119.3,457.6
West Virginia,WV,1857000,2362.8,146.7,6.5,18.7,42.7,78.8,2216.2,626.5,1432.8,156.8
Wisconsin,WI,4867000,4164.8,222.6,3.6,20.4,75.2,123.4,3942.2,733.2,2877.3,331.7
Wyoming,WY,475000,3889.1,258.3,4.4,28.2,17.1,208.6,3630.7,631.8,2861.7,137.3
