state,stateAbbr,population,index,violent,murder,rape,robbery,aggrate,property,burglary,larceny,gta
Alabama,AL,4273000,4820.1,565.4,10,33,167,356,4254.7,1002.1,2886.7,366
Alaska,AK,607000,5450.4,727.7,7.4,65.6,117,537.7,4722.7,843.2,3386.7,492.9
Arizona,AZ,4428000,7067,631.5,8.5,31.2,167.8,424,6435.5,1256.3,4252.5,926.7
Arkansas,AR,2510000,4699.2,524,9,42,114,360,4174.9,953,2908.8,313
California,CA,31878000,5207.8,862.7,9.1,32.1,295.6,525.8,4345.1,979.4,2605.1,760.6
Colorado,CO,3823000,5118.5,404.5,4.7,46.2,98.2,255.4,4714,900.8,3415.5,397.8
Connecticut,CT,3274000,4227.7,412,4.8,23.1,169.6,214.6,3815.6,842.2,2484.1,489.4
Delaware,DE,725000,4894.9,668.3,4.3,62.6,179.9,421.5,4226.6,804.1,2988.3,434.2
District Of Columbia,DC,543000,11896.7,2469.8,73.1,47.9,1186.7,1162.1,9426.9,1809.9,5779.9,1837
Florida,FL,14400000,7497.4,1051,7.5,52.1,289.2,702.2,6446.3,1521.2,4204.5,720.6
Georgia,GA,7353000,6309.7,638.7,8.6,32.1,205.4,392.8,5671,1114.8,3927.7,628.5
Hawaii,HI,1184000,6584.5,280.6,3.4,27.5,135.6,114,6304,1079.5,4620,604.5
Idaho,ID,1189000,4012.5,267.2,3.6,26.3,20.3,217,3745.3,709.1,2848.8,187.5
Illinois,IL,11847000,5320,890.4,10,38.4,279.4,562.6,4429.6,913.2,3026.2,490.2
Indiana,IN,5841000,4498.2,537,7.2,34.1,124.1,371.6,3961.2,783.8,2752.6,424.9
Iowa,IA,2852000,3648.9,272.5,1.9,19.7,45.1,205.9,3376.4,664.6,2520.8,191.1
Kansas,KS,2572000,4681.7,413.8,6.6,42.6,96.3,268.3,4268,981.3,3038.3,248.4
Kentucky,KY,3884000,3166.3,320.5,5.9,31.7,93.8,189.2,2845.8,688.4,1896.3,261.1
Louisiana,LA,4351000,6838.8,929.1,17.5,41.5,276.6,593.5,5909.7,1295.8,3982.3,631.6
Maine,ME,1243000,3394.1,124.9,2,20.9,23.5,78.5,3269.2,748.4,2377.9,142.9
Maryland,MD,5072000,6061.9,931.2,11.6,37.6,393.2,488.8,5130.7,992.3,3427,711.4
Massachusetts,MA,6092000,3837.1,642.2,2.6,29,127.7,482.9,3194.9,704.1,1962.6,528.2
Michigan,MI,9594000,5117.5,635.3,7.5,57,176.2,394.6,4482.2,895.4,2886.3,700.5
Minnesota,MN,4658000,4463.1,338.8,3.6,50,115.6,169.7,4124.3,762.5,2977.1,384.8
Mississippi,MS,2716000,4522.9,488.3,11.1,36.1,134.2,306.8,4034.6,1132.4,2551.5,350.8
Missouri,MO,5359000,5084,590.9,8.1,29.2,170.6,383.1,4493,894.2,3151.1,447.7
Montana,MT,879000,4493.6,161,3.9,27.1,29.7,100.3,4332.7,558.4,3518.5,255.7
Nebraska,NE,1652000,4436.6,435,2.9,27.1,63.7,341.1,4001.8,614.5,3045.7,342
Nevada,NV,1603000,5992,811.3,13.7,53.4,307.6,436.6,5180.7,1220.1,3262.3,698.3
New Hampshire,NH,1162000,2823.5,118.2,1.7,34.8,27.3,54.4,2705.3,435.7,2118,151.6
New Jersey,NJ,7988000,4332.9,531.5,4.2,24.7,235.8,266.7,3801.4,791.9,2428.2,581.3
New Mexico,NM,1713000,6602.3,840.6,11.5,63.5,162.4,603.2,5761.7,1376.9,3802.6,582.2
New York,NY,18185000,4132.3,727,7.4,23,340,356.7,3405.3,713.9,2197,494.4
North Carolina,NC,7323000,5526.2,588.1,8.5,31.3,163.9,384.5,4938.1,1345.6,3257,335.5
North Dakota,ND,644000,2669.1,84,2.2,24.1,11,46.7,2585.1,309.2,2085.9,190.1
Ohio,OH,11173000,4455.7,428.7,4.8,41.3,164.1,218.4,4027,835.4,2784.1,407.5
Oklahoma,OK,3301000,5652.9,597.1,6.8,46.8,106.8,436.9,5055.8,1255.6,3317.4,482.9
Oregon,OR,3204000,5996.6,463.1,4,39.7,122.2,297.2,5533.6,988.3,4014.3,531
Pennsylvania,PA,12056000,3556.4,480.3,5.7,25.2,189,260.5,3076.1,591.9,2079.9,404.2
Rhode Island,RI,990000,3993.5,347.2,2.5,29,83.2,232.4,3646.4,821.7,2360.3,464.3
South Carolina,SC,3699000,6214.1,996.9,9,49.2,172,766.7,5217.2,1283.8,3505,428.5
South Dakota,SD,732000,2969.9,177.2,1.2,41,18.9,116.1,2792.8,557,2121.9,113.9
Tennessee,TN,5320000,5449.3,774,9.5,46.5,223.7,494.3,4675.4,1163.5,2864.8,647.1
Texas,TX,19128000,5708.9,644.4,7.7,43.8,171.5,421.4,5064.5,1068.5,3447.4,548.6
Utah,UT,2000000,5985.9,331.9,3.2,41.8,68.9,218.1,5654,848.3,4377.1,428.6
Vermont,VT,589000,3002.9,121.2,1.9,27,15.4,76.9,2881.7,673,2058.4,150.3
Virginia,VA,6675000,3968.3,341.3,7.5,26.7,122.6,184.5,3627,588.1,2760.1,278.8
Washington,WA,5533000,5909.4,431.2,4.6,51.1,119,256.4,5478.2,1057.5,3898.5,522.2
West Virginia,WV,1826000,2483.4,210.1,3.8,19.6,40.4,146.3,2273.3,546.5,1549.8,176.9
Wisconsin,WI,5160000,3821.4,252.7,4,21,96.6,131.1,3568.7,588.3,2634.5,345.9
Wyoming,WY,481000,4254.1,249.7,3.3,29.1,20.4,196.9,4004.4,662,3203.3,139.1
