state,stateAbbr,population,index,violent,murder,rape,robbery,aggrate,property,burglary,larceny,gta
Alabama,AL,3742000,3938.8,419.1,13.3,25.5,99.1,281.2,3519.7,1229.3,1987.9,302.5
Alaska,AK,403000,6046.2,441.9,12.9,55.6,91.3,282.1,5604.2,1339.2,3603.5,661.5
Arizona,AZ,2354000,7603.8,552.1,9.4,44.2,162.9,335.6,7051.7,2082.5,4504.8,464.4
Arkansas,AR,2186000,3461.7,344.1,9.1,23.1,80,231.9,3117.6,967.1,1950.9,199.6
California,CA,22294000,7116.2,742.9,11.7,50.8,306.1,374.4,6373.3,2193.3,3488.8,691.3
Colorado,CO,2670000,6832.4,498,7.3,49.6,159.2,281.9,6334.5,1869.6,3977,487.9
Connecticut,CT,3099000,4929.5,315,4.2,17.2,154.8,138.8,4614.5,1362,2597.6,654.9
Delaware,DE,583000,6353.9,440.7,6.7,20.4,145.5,268.1,5913.2,1623.7,3792.6,496.9
District Of Columbia,DC,674000,7559.3,1411.7,28,66.3,939.6,377.7,6147.6,1854.2,3819.6,473.9
Florida,FL,8594000,7069.5,765.6,11,46.1,206,502.5,6303.9,1978.8,3936.5,388.6
Georgia,GA,5084000,4771.3,482.8,14.4,37.9,166.3,264.2,4288.5,1475.6,2456.3,356.5
Hawaii,HI,897000,7136.1,270.1,6.7,25.9,173.6,64,6866,1937.7,4357.5,570.8
Idaho,ID,878000,4014.8,236.4,5.4,19.2,40,171.9,3778.4,1038.4,2496.2,243.7
Illinois,IL,11243000,5619.8,676.7,9.9,28,292.9,345.9,4943.1,1350.7,2969.9,622.5
Indiana,IN,5374000,4338.5,323.5,6.2,27,121.4,168.8,4015.1,1108.3,2495.7,411.1
Iowa,IA,2896000,3980.1,161.4,2.6,10.4,46.9,101.6,3818.7,870.6,2712.9,235.1
Kansas,KS,2348000,4544.1,318.2,5.7,25,93.7,193.8,4225.9,1286.8,2691.4,247.7
Kentucky,KY,3498000,3023,223.2,9,20.7,81.3,112.1,2799.9,884.6,1664.7,250.6
Louisiana,LA,3966000,4792.3,584.9,15.8,34.8,173.7,360.7,4207.4,1275.5,2570.3,361.6
Maine,ME,1091000,4138.5,207.7,2.7,11.1,32.9,161,3930.8,1241.2,2436.2,253.3
Maryland,MD,4143000,5813.6,732,8.2,35.6,309.6,378.6,5081.6,1421.8,3235,424.8
Massachusetts,MA,5774000,5350.4,462,3.7,22.6,172.3,263.3,4888.5,1515.1,2277.8,1095.6
Michigan,MI,9189000,5594.1,577.2,10.6,39.6,219.3,307.7,5016.9,1444.3,3046.7,525.9
Minnesota,MN,4008000,4144.1,189.6,2,19.9,85.1,82.6,3954.5,1093.7,2536.1,324.7
Mississippi,MS,2404000,2554.9,321.2,12.6,21.8,70.2,216.6,2233.7,846.3,1235.6,151.8
Missouri,MO,4860000,4527.4,467.9,10.4,28,184,245.5,4059.5,1345.2,2345.5,368.8
Montana,MT,785000,3915.8,237.6,4.8,15.8,36.8,180.1,3678.2,786,2585.1,307.1
Nebraska,NE,1565000,3441.3,190.5,3,18.3,64.9,104.4,3250.7,746.8,2287.2,216.8
Nevada,NV,660000,8286.8,780.8,15.5,53.9,359.5,351.8,7506.1,2659.2,4245.2,601.7
New Hampshire,NH,871000,4067.5,118.8,1.4,9.4,26.3,81.7,3948.7,1159.7,2483.4,305.6
New Jersey,NJ,7327000,5207.2,423.5,5.4,23.6,192.6,201.9,4783.7,1456.3,2766.8,560.6
New Mexico,NM,1212000,5180.4,528.2,10.2,42.7,111.6,363.8,4652.1,1335.6,3002.7,313.8
