state,stateAbbr,population,index,violent,murder,rape,robbery,aggrate,property,burglary,larceny,gta
Alabama,AL,4352000,4597.1,512.1,8.1,33.2,130.9,339.9,4085,964.3,2779,341.7
Alaska,AK,614000,4777,653.9,6.7,68.6,86.6,492,4123.1,667.4,3031.1,424.6
Arizona,AZ,4669000,6575,577.9,8.1,31.1,165.2,373.6,5997,1209.5,3922.4,865.1
Arkansas,AR,2538000,4283.4,490.2,7.9,35.2,96.2,350.9,3793.2,928.3,2581.8,283.2
California,CA,32667000,4342.8,703.7,6.6,29.9,210.6,456.6,3639.1,823.5,2217.1,598.5
Colorado,CO,3971000,4487.5,377.9,4.6,47.4,81.5,244.4,4109.5,786.5,2917.9,405.1
Connecticut,CT,3274000,3786.5,366.3,4.1,22.2,133.8,206.2,3420.2,665.9,2366.3,388.1
Delaware,DE,744000,5363.2,762.4,2.8,67.1,194.2,498.3,4600.8,859.5,3313,428.2
District Of Columbia,DC,523000,8835.6,1718.5,49.7,36.3,689.5,943,7117,1216.3,4657.7,1243
Florida,FL,14916000,6886,938.7,6.5,49.6,242.7,639.9,5947.4,1361.7,3886.8,698.9
Georgia,GA,7642000,5463,572.7,8.1,30.4,187.2,347,4890.3,990.8,3342.8,556.6
Hawaii,HI,1193000,5333,246.9,2,29.5,102.7,112.7,5086.1,936.2,3681,468.9
Idaho,ID,1229000,3714.6,282.2,2.9,31.4,21.5,226.4,3432.5,693.1,2553.7,185.7
Illinois,IL,12045000,4858.5,807.7,8.4,34,248.5,516.9,4050.8,811.9,2799.4,439.5
Indiana,IN,5899000,4169.4,431,7.7,33.1,111.2,279,3738.4,789.2,2590.1,359.2
Iowa,IA,2862000,3500.6,311.5,1.9,25.4,50.9,233.3,3189.1,673.7,2306.6,208.7
Kansas,KS,2629000,4872,417.3,6.6,42.9,87,280.9,4454.7,950.3,3245.7,258.7
Kentucky,KY,3936000,3115.6,328,6,28.1,88.1,205.7,2787.6,711.3,1828.5,247.8
Louisiana,LA,4369000,6098.3,779.5,12.8,36.8,198,531.9,5318.8,1172.1,3605.1,541.6
Maine,ME,1244000,3040.8,125.9,2.1,18.1,21.1,84.6,2914.9,666.8,2126.8,121.3
Maryland,MD,5135000,5365.7,796.6,10,33.4,298.7,454.5,4569.1,922.9,3096.8,549.4
Massachusetts,MA,6147000,3435.9,621.3,2,27.4,96.6,495.2,2814.6,607.3,1777.7,429.5
Michigan,MI,9817000,4682.9,620.8,7.3,50.4,155.8,407.3,4062.1,837.8,2630,594.3
Minnesota,MN,4725000,4046.5,310.2,2.6,49.9,92.5,165.2,3736.3,687.5,2723.6,325.2
Mississippi,MS,2752000,4384,410.7,11.4,37.3,123.3,238.6,3973.3,1144.5,2490,338.7
Missouri,MO,5439000,4826.4,555.7,7.3,26.9,149.2,372.2,4270.7,872.5,2948.4,449.8
Montana,MT,880000,4359.2,204.2,2,26.7,26.4,149.1,4155,519.9,3402.3,232.8
Nebraska,NE,1663000,4405.2,451.4,3.1,25.1,77.6,345.7,3953.8,634,2971.7,348
Nevada,NV,1747000,5280.5,643.6,9.7,52.1,254.9,326.8,4636.9,1137.6,2711.3,788
New Hampshire,NH,1185000,2419.8,107.2,1.5,33.8,21.5,50.4,2312.7,325.1,1863.2,124.4
New Jersey,NJ,8115000,3654.1,440.2,4,20,186.2,230,3213.9,671.1,2109.3,433.6
New Mexico,NM,1737000,6719.1,961.4,10.9,55.1,163.4,732,5757.7,1394,3743.9,619.9
New York,NY,18175000,3588.5,637.8,5.1,21.1,270.3,341.3,2950.7,576.7,1998.9,375.1
North Carolina,NC,7546000,5322.2,579.4,8.1,30.6,160.8,379.9,4742.8,1324.6,3092,326.2
North Dakota,ND,638000,2681,89.3,1.1,33.2,10.2,44.8,2591.7,356.4,2058.6,176.6
Ohio,OH,11209000,4327.5,362.5,4,40.5,133.5,184.5,3965,810.1,2771.1,383.8
Oklahoma,OK,3347000,5003.9,539.4,6.1,45.2,92,396.1,4464.5,1143.4,2915.8,405.3
Oregon,OR,3282000,5646.6,419.8,3.8,39.8,105.2,271,5226.8,927.5,3773.3,526
Pennsylvania,PA,12001000,3273,420.5,5.3,26.9,164.9,223.5,2852.4,531.4,1965.4,355.5
Rhode Island,RI,988000,3517.8,312.1,2.4,35.5,66.7,207.5,3205.7,653,2165.1,387.6
South Carolina,SC,3836000,5777,903.2,8,45.7,154.9,694.6,4873.8,1162.7,3295.4,415.7
South Dakota,SD,738000,2624.1,154.3,1.4,35,20.2,97.8,2469.8,468.6,1897.8,103.4
Tennessee,TN,5431000,5034.4,715,8.5,45.8,178,482.8,4319.4,1075.9,2726.1,517.4
Texas,TX,19760000,5111.6,564.6,6.8,40,145.1,372.6,4547,986.3,3071.7,489.1
Utah,UT,2100000,5047.6,279.5,2.1,38.4,55.1,183.9,4768.1,694.9,3721.7,351.5
Vermont,VT,591000,3139.1,106.3,2.2,27.6,9.5,67,3032.8,671.1,2213.9,147.9
Virginia,VA,6791000,3660.4,325.7,6.2,26.7,105.6,187.2,3334.7,560.9,2503.5,270.3
Washington,WA,5689000,5867.4,428.5,3.9,48.2,115.6,260.8,5438.9,1062.5,3757.7,618.7
West Virginia,WV,1811000,2547.2,248.6,4.3,18.7,37.3,188.3,2298.6,613.5,1497.9,187.2
Wisconsin,WI,5224000,3543.1,249,3.6,19.9,85.6,139.9,3294.1,569.3,2452.8,272
Wyoming,WY,481000,3807.7,247.6,4.8,27.7,16.2,199,3560.1,560.5,2860.5,139.1
