state,stateAbbr,population,index,violent,murder,rape,robbery,aggrate,property,burglary,larceny,gta
Alabama,AL,3479000,2498.4,311.4,15.1,19,57.6,219.7,2187,791.8,1173.9,221.2
Alaska,AK,313000,4164.5,355.3,13.4,43.5,67.1,231.3,3809.3,848.6,2438,522.7
Arizona,AZ,1849000,5941.5,400.6,6.7,29.9,113.3,250.7,5540.9,1435.9,3654.2,450.8
Arkansas,AR,1944000,2328.2,240.7,10.5,17.1,48.7,164.5,2087.5,720.9,1243.5,123.1
California,CA,20223000,6690.1,518.6,8.1,36.1,235.5,238.9,6171.5,1939.8,3517.9,713.9
Colorado,CO,2283000,5517,373.6,6.5,38.4,134.9,193.8,5143.3,1450,3128.5,564.8
Connecticut,CT,3081000,3646.2,193.7,3.1,11.9,83.2,95.5,3452.5,1067.3,1846,539.1
Delaware,DE,558000,5015.1,369.2,6.1,18.3,144.1,200.7,4645.9,1390.5,2670.6,584.8
District Of Columbia,DC,741000,9516.3,2170.6,37.1,83,1514.4,536,7345.7,2539.5,3627.8,1178.4
Florida,FL,7041000,5673,547.9,13.3,24.3,190.6,319.7,5125.2,1678.4,3054.1,392.7
Georgia,GA,4664000,3047.9,340.9,16,21.5,104.2,199.2,2707,1050.7,1354.5,301.8
Hawaii,HI,789000,5458.8,231.9,5.3,17.5,93,116.1,5226.9,1437.1,3222.4,567.3
Idaho,ID,732000,3507.5,125.3,3.3,10.5,22.3,89.2,3382.2,741.8,2473.9,166.5
Illinois,IL,11196000,3885.3,477.3,9.6,21.6,258.1,187.9,3408.1,836.7,2095.6,475.8
Indiana,IN,5274000,3522.7,247.1,5.3,19.4,126,96.3,3275.7,969,1903.9,402.7
Iowa,IA,2852000,2625.6,98.9,1.8,8.9,30.4,57.8,2526.6,531.6,1841.8,153.3
Kansas,KS,2258000,3495.2,214.5,5.1,15.9,65.7,127.8,3280.7,888.6,2148.4,243.8
Kentucky,KY,3282000,2481.7,235.1,10.9,14.9,77.4,131.9,2246.6,719,1195.4,332.3
Louisiana,LA,3681000,3456.2,413.1,11.1,23.7,135.1,243.2,3043,911.9,1729.4,401.7
Maine,ME,1003000,2316.3,90,2,7.4,14.4,66.3,2226.2,750.6,1327.8,147.8
Maryland,MD,4000000,4799.2,621.4,11.2,24.9,325.4,259.9,4177.8,1122.5,2528.5,526.8
Massachusetts,MA,5758000,4347.6,266,3.8,12.4,140.1,109.6,4081.5,1339.8,1756.9,984.9
Michigan,MI,8997000,5715.2,574.6,10.5,26.7,330.1,207.3,5140.6,1686.7,2956,497.9
Minnesota,MN,3881000,3536.9,154.4,2.4,12.1,77,62.9,3382.5,881.7,2157.7,343.1
Mississippi,MS,2226000,1600.5,276.3,14.7,13.7,35.9,212,1324.2,444.7,780,99.4
Missouri,MO,4749000,4045.6,386.5,8.9,26.2,179.7,171.7,3659,1167.1,1989.7,502.2
Montana,MT,708000,3183.9,137.1,4.4,14.1,28.7,90,3046.8,654.9,2169.8,222
Nebraska,NE,1512000,2538.9,155.8,2.6,14,36,103.2,2383.1,551.4,1577.1,254.6
Nevada,NV,507000,5461.5,372.2,11.4,26.6,171.2,162.9,5089.3,1505.9,2977.1,606.3
New Hampshire,NH,762000,2073.2,76.1,2.2,8.3,16.1,49.5,1997.1,666.9,1146.2,184
New Jersey,NJ,7300000,3965.3,362.2,5.8,14.5,220,121.8,3603.1,1215.3,1807.7,580.1
New Mexico,NM,1030000,5105.7,387.8,12,26.2,103.1,246.4,4718,1417.1,2842.1,458.7
New York,NY,18391000,5084.1,788.7,9.9,17.5,531.1,230.1,4295.4,1488.2,2113.1,694.1
North Carolina,NC,5146000,2729.2,387.7,11.8,14.8,55.3,305.8,2341.5,813.1,1362.4,166.1
North Dakota,ND,625000,2050.4,38.1,1.3,4.2,7.5,25.1,2012.3,339.8,1585.8,86.7
Ohio,OH,10778000,3666.2,298.4,7.5,18.4,163.7,108.7,3367.8,932.6,1938.8,496.4
Oklahoma,OK,2610000,3124.5,257.4,6.5,16.6,60.3,174,2867,930.6,1654.2,282.3
Oregon,OR,2158000,4939.8,293.6,3.2,22.2,110.4,157.7,4646.2,1340.7,2944.5,361
Pennsylvania,PA,11879000,2568.1,268.7,6.2,13.9,141.9,106.7,2299.5,742.3,1189,368.2
Rhode Island,RI,960000,4810.1,221.8,3,5.6,84.9,128.2,4588.3,1097.4,2511.6,979.4
South Carolina,SC,2627000,3138.4,311.7,16.6,18.2,62.4,214.5,2826.8,1030.7,1576.5,219.6
South Dakota,SD,670000,2059.3,96.1,1.2,9.9,18.2,66.9,1963.1,453.3,1426.6,83.3
Tennessee,TN,3990000,2613.2,313.8,12.4,18.1,86.5,196.8,2299.4,901.4,1094.5,303.5
Texas,TX,11460000,4100.1,376,12.1,23.6,124.1,216.3,3724.1,1183.7,2161,379.4
Utah,UT,1099000,4485.8,153.7,2.7,14.6,60.5,75.8,4332.1,914.7,3089.1,328.3
Vermont,VT,458000,2080.3,72.7,1.1,11.4,9.8,50.4,2007.6,726,1142.6,139.1
Virginia,VA,4714000,3633.6,326.3,10.1,21.3,106.8,188.2,3307.2,920.2,2076.5,310.5
Washington,WA,3449000,4885.9,236.4,3.8,17.7,93.3,121.6,4649.4,1392.8,2912.4,344.3
West Virginia,WV,1752000,1401.4,131.9,6.4,5,35.4,85.1,1269.5,387.7,770.9,110.8
Wisconsin,WI,4476000,3010.2,88.4,2.8,7.6,31.5,46.4,2921.8,629.4,2051.8,240.6
Wyoming,WY,340000,2816.5,156.5,5.3,13.8,20,117.4,2660,586.2,1892.1,181.8
