state,stateAbbr,population,index,violent,murder,rape,robbery,aggrate,property,burglary,larceny,gta
Alabama,AL,4447100,4545.9,486.2,7.4,33.3,128.2,317.2,4059.7,906.9,2864.8,288
Alaska,AK,626932,4249.4,566.9,4.3,79.3,78.2,405.1,3682.5,621.9,2685.8,374.8
Arizona,AZ,5130632,5829.5,531.7,7,30.7,146.3,347.7,5297.8,1011.6,3444.1,842.1
Arkansas,AR,2673400,4115.3,445.3,6.3,31.7,74.8,332.4,3670,802.1,2608.7,259.3
California,CA,33871648,3739.7,621.6,6.1,28.9,177.9,408.7,3118.2,656.3,1924.5,537.4
Colorado,CO,4301261,3982.6,334,3.1,41.2,70.5,219.1,3648.6,630.8,2623.5,394.3
Connecticut,CT,3405565,3232.7,324.7,2.9,19.9,112.5,189.4,2908,512,2011.4,384.6
Delaware,DE,783600,4478.1,684.4,3.2,54.1,177.9,449.2,3793.6,665.6,2725.9,402.1
District Of Columbia,DC,572059,7276.5,1507.9,41.8,43.9,621.3,801,5768.6,829.5,3785.4,1153.7
Florida,FL,15982378,5694.7,812,5.6,44.2,199,563.2,4882.7,1081.8,3242.9,558
Georgia,GA,8186453,4751.1,504.7,8,24,161.9,310.9,4246.4,836.6,2937,472.8
Hawaii,HI,1211537,5198.9,243.8,2.9,28.6,92.7,119.7,4955.1,880.3,3570.2,504.6
Idaho,ID,1293953,3186.2,252.5,1.2,29.7,17.2,204.3,2933.7,566.5,2206,161.2
Illinois,IL,12419293,4286.2,656.8,7.2,32.9,207.4,409.3,3629.4,659.6,2517.8,452.1
Indiana,IN,6080485,3751.9,349.1,5.8,28.9,103.3,211.1,3402.8,676.1,2379.9,346.8
Iowa,IA,2926324,3233.7,266.4,1.6,23.1,36.6,205.1,2967.3,558.4,2225.2,183.6
Kansas,KS,2688418,4408.8,389.4,6.3,38,76.2,269,4019.4,799.1,2978.6,241.6
Kentucky,KY,4041769,2959.7,294.5,4.8,27,80.6,182.2,2665.2,626.2,1809.6,229.5
Louisiana,LA,4468976,5422.8,681.1,12.5,33.5,168.5,466.6,4741.7,1035.8,3229.9,475.9
Maine,ME,1274923,2619.8,109.6,1.2,25.1,19.4,63.9,2510.2,531.4,1875.1,103.7
Maryland,MD,5296486,4816.1,786.6,8.1,29.1,256,493.3,4029.5,744.4,2745.7,539.5
Massachusetts,MA,6349097,3026.1,476.1,2,26.7,91.6,355.9,2550,482,1660.5,407.6
Michigan,MI,9938444,4109.9,555,6.7,50.6,138,359.7,3554.9,702.2,2291.9,560.7
Minnesota,MN,4919479,3488.4,280.8,3.1,45.5,75.5,156.7,3207.6,530.9,2403.7,273
Mississippi,MS,2844658,4004.4,360.9,9,35.8,95,221.1,3643.5,946.3,2452.2,245
Missouri,MO,5595211,4527.8,490,6.2,24.1,135.8,323.9,4037.7,745,2851.3,441.4
Montana,MT,902195,3533.4,240.6,1.8,33.4,27.6,177.9,3292.7,437.4,2638.6,216.8
Nebraska,NE,1711263,4095.5,327.6,3.7,25.5,67,231.4,3767.9,592,2870.3,305.6
Nevada,NV,1998257,4268.6,524.2,6.5,43,227.3,247.3,3744.4,877.1,2208.2,659.2
New Hampshire,NH,1235786,2433.1,175.4,1.8,42.2,36.7,94.7,2257.8,404,1680,173.8
New Jersey,NJ,8414350,3160.5,383.8,3.4,16.1,161.1,203.2,2776.6,522,1848.8,405.9
New Mexico,NM,1819046,5518.9,757.9,7.4,50.7,137.4,562.4,4761,1173.1,3184.4,403.6
New York,NY,18976457,3099.6,553.9,5,18.6,213.6,316.7,2545.7,463.4,1796.4,285.8
North Carolina,NC,8049313,4919.3,497.6,7,27.1,156.5,307,4421.8,1216.1,2891.8,313.9
North Dakota,ND,642200,2288.1,81.4,0.6,26.3,8.7,45.8,2206.6,325.9,1727.2,153.5
Ohio,OH,11353140,4041.8,334.1,3.7,37.6,137.5,155.3,3707.7,780.7,2583.2,343.7
Oklahoma,OK,3450654,4558.6,497.8,5.3,41.2,75.8,375.5,4060.8,917.5,2785.4,357.8
Oregon,OR,3421399,4845.4,350.7,2,37.6,84.4,226.7,4494.7,748.8,3338.7,407.2
Pennsylvania,PA,12281054,2995.3,420,4.9,26.4,147.8,240.9,2575.3,440.4,1839.2,295.8
Rhode Island,RI,1048319,3476.4,297.7,4.3,39.3,88,166.2,3178.7,631.5,2102.2,445
South Carolina,SC,4012012,5221.4,804.9,5.8,37.7,146.6,614.8,4416.5,969.3,3068.1,379
South Dakota,SD,754844,2319.8,166.8,0.9,40.4,17.4,108.1,2153,383.7,1663.7,105.7
Tennessee,TN,5689283,4890.2,707.2,7.2,38.4,166.4,495.2,4183,990.4,2708.8,483.9
Texas,TX,20851820,4955.5,545.1,5.9,37.7,145.1,356.3,4410.4,906.3,3057.4,446.8
Utah,UT,2233169,4476.1,255.7,1.9,38.6,55.6,159.5,4220.3,642.5,3288.5,289.3
Vermont,VT,608827,2986.9,113.5,1.5,23,19.2,69.8,2873.4,575,2165.5,132.9
Virginia,VA,7078515,3028.1,281.7,5.7,22.8,88.9,164.3,2746.4,429.9,2064.8,251.6
Washington,WA,5894121,5105.6,369.7,3.3,46.4,98.6,221.3,4736,907.3,3234.6,594.1
West Virginia,WV,1808344,2602.8,316.5,2.5,18.3,41.4,254.2,2286.3,546.9,1556.1,183.3
Wisconsin,WI,5363675,3209.1,236.8,3.2,21.7,84.6,127.3,2972.3,469.5,2229.9,272.9
Wyoming,WY,493782,3298,266.5,2.4,32.4,14.2,217.5,3031.5,420.8,2494.6,116
