state,stateAbbr,population,index,violent,murder,rape,robbery,aggrate,property,burglary,larceny,gta
Alabama,AL,3539000,2582.3,350.1,13.2,21.2,79.4,236.3,2232.2,897.3,1107.8,227.2
Alaska,AK,330000,4943.3,384.5,10,44.5,67,263,4558.8,1167.3,2865.5,526.1
Arizona,AZ,2058000,6703.9,479.9,8.1,31,147.3,293.6,6224,1958.3,3720.1,545.6
Arkansas,AR,2037000,2756.5,289.9,8.8,19.5,71.5,190,2466.6,888,1433.7,144.9
California,CA,20601000,6304.9,565.8,9,40.6,240.4,275.8,5739.1,1979.6,3123.6,635.9
Colorado,CO,2437000,5495.8,414,7.9,38.7,162.9,204.4,5081.9,1598.8,2910.6,572.5
Connecticut,CT,3076000,3664.4,208.7,3.3,11.1,84.2,110.1,3455.7,1029.3,1909.7,516.7
Delaware,DE,576000,4582.6,350,5.9,15.8,90.3,238,4232.6,1219.4,2526.4,486.8
District Of Columbia,DC,746000,7898.3,1558.4,35.9,79.9,961.3,481.4,6339.8,1581.9,4126.1,631.8
Florida,FL,7678000,5960.3,604.6,15.4,31.9,222.3,335,5355.7,1857.2,3048.6,449.9
Georgia,GA,4786000,3430.3,412.4,17.4,25.8,158.1,211.1,3017.9,1268.8,1390.7,358.4
Hawaii,HI,832000,4958.8,155.6,5.3,20.2,83.7,46.5,4803.1,1535.5,2830.8,436.9
Idaho,ID,770000,3457.8,164.2,2.6,14.2,26.9,120.5,3293.6,848.8,2237.8,207
Illinois,IL,11236000,4324.9,555.9,10.4,24,272.8,248.7,3769.1,1025.1,2236.2,507.7
Indiana,IN,5316000,3726.7,257.6,7.3,23.3,108.8,118.2,3469.1,1035.8,2043.3,389.9
Iowa,IA,2904000,2831.6,102.3,2.2,11.3,32.9,55.9,2729.3,634,1904.6,190.7
Kansas,KS,2279000,3513.8,217.5,6,18,78.1,115.3,3296.3,1030.5,2055.3,210.5
Kentucky,KY,3342000,2265.3,220.1,9.7,16.3,85.1,109.1,2045.2,679.7,1139.2,226.2
Louisiana,LA,3764000,3402.9,425.6,15.4,22.2,138.6,249.3,2977.3,962.1,1690.4,324.9
Maine,ME,1028000,2842.4,122.4,2.1,7.8,20.7,91.7,2720,973.4,1566.8,179.8
Maryland,MD,4070000,4791.4,641.1,11.3,27.8,301.6,300.4,4150.3,1144.6,2457.9,547.8
Massachusetts,MA,5818000,4521,351.9,4.4,16.3,182,149.3,4169.1,1330.3,1729.2,1109.6
Michigan,MI,9044000,5489.4,585.2,12.1,35.1,282.7,255.2,4904.2,1584.6,2771.3,548.3
Minnesota,MN,3897000,3535.6,177.7,2.7,14.9,88.7,71.5,3357.8,1016.4,2004.7,336.7
Mississippi,MS,2281000,1926.3,339.1,16.1,17.1,46.8,259.1,1587.2,593.8,879.7,113.8
Missouri,MO,4757000,4141.4,408.7,9,28.2,193.4,178.1,3732.8,1234.8,2052.6,445.4
Montana,MT,721000,3395.3,167.4,6,16.4,36.3,108.7,3227.9,755.6,2241.7,230.5
Nebraska,NE,1542000,2811.2,185.4,4.3,16.5,62.5,102.1,2625.8,637.4,1685.7,302.7
Nevada,NV,548000,6632.1,572.1,12.2,46,262,251.8,6060,2149.8,3299.1,611.1
New Hampshire,NH,791000,2329.3,82,2.1,9.5,13.3,57.1,2247.3,685,1373.3,189
New Jersey,NJ,7361000,4082.5,391.9,7.4,18.8,206.2,159.4,3690.6,1244.5,1873.4,572.7
New Mexico,NM,1106000,4932.1,471.9,11.8,33.1,128.8,298.3,4460.2,1501,2614.3,344.9
New York,NY,18265000,4458.5,741.7,11.2,26.6,442.3,261.6,3716.8,1348.2,1753.7,615
North Carolina,NC,5273000,2811.9,437.8,13,16.1,71.4,337.4,2374,892,1308.2,173.8
North Dakota,ND,640000,2078.4,60.8,0.8,7.3,7.3,45.3,2017.7,383.4,1502.8,131.4
Ohio,OH,10731000,3495.9,291.7,7.3,21.4,143.5,119.5,3204.1,943,1884.3,376.9
Oklahoma,OK,2663000,3466.4,246.2,6.6,20,68.2,151.4,3220.2,1163.9,1745.2,311.1
Oregon,OR,2225000,5297.1,292.7,4.9,29.3,99.4,159,5004.4,1607.7,2988.5,408.2
Pennsylvania,PA,11902000,2501.7,272.2,6.3,15.8,138.6,111.5,2229.5,773.6,1090.7,365.3
Rhode Island,RI,973000,4678.3,282.5,3.4,8.3,97,173.8,4395.8,1189.1,2312.3,894.3
South Carolina,SC,2726000,3327,394.6,14.4,22.5,79.2,278.6,2932.4,1194.3,1492.1,246
South Dakota,SD,685000,2175.8,126.9,3.8,12.8,24.7,85.5,2048.9,498.7,1406,144.2
Tennessee,TN,4126000,3060.1,358,13.2,26.9,130.5,187.5,2702.1,1009.8,1362.2,330.1
Texas,TX,11794000,4125.5,385.4,12.8,25.2,144.6,202.8,3740.1,1275.8,2107.3,357
Utah,UT,1157000,4247.1,208.5,3.2,22.9,62.6,119.8,4038.6,989.3,2748.1,301.2
Vermont,VT,464000,2498.1,70.5,2.2,11.2,8.8,48.3,2427.6,801.5,1489.9,136.2
Virginia,VA,4811000,3557.6,332.7,10.5,22.9,104.8,194.5,3224.9,937.6,2004.3,283
Washington,WA,3429000,5089.9,271.5,4,26.2,96.3,145,4818.5,1540.4,2902.4,375.7
West Virginia,WV,1794000,1471.5,123.7,5.7,9.3,27.9,80.8,1347.8,415.8,824.9,107.1
Wisconsin,WI,4569000,3176.9,115.4,2.6,10.8,48.7,53.3,3061.5,710.6,2122,228.9
Wyoming,WY,353000,3413,216.1,6.8,15.6,32.9,160.9,3196.9,699.7,2282.7,214.4
