state,stateAbbr,population,index,violent,murder,rape,robbery,aggrate,property,burglary,larceny,gta
Alabama,AL,3462000,1592.5,199.8,11.4,10.6,28.7,149.1,1392.7,473.7,812.1,106.9
Alaska,AK,253000,2603.6,149,6.3,17.8,39.9,85,2454.5,554.5,1492.9,407.1
Arizona,AZ,1608000,3547.8,192.3,5,17.8,55.7,113.9,3355.5,816.5,2251.7,287.3
Arkansas,AR,1960000,1274.2,135.8,5.9,10.4,23.7,95.9,1138.4,323.7,727.2,87.5
California,CA,18602000,4319.4,282.2,4.7,21.2,113.3,142.9,4037.2,1209.6,2388,439.6
Colorado,CO,1969000,2704.5,152.7,3.5,16.2,54.5,78.6,2551.8,650.9,1652.2,248.7
Connecticut,CT,2832000,1834.4,69.7,1.6,5.2,19.3,43.5,1764.8,563.5,983.8,217.4
Delaware,DE,505000,2408.7,111.1,5.7,6.5,56.6,42.2,2297.6,647.9,1398.4,251.3
District Of Columbia,DC,803000,4219.8,722.8,18.4,17.4,358.8,328.1,3497,1231.1,1566.1,699.8
Florida,FL,5805000,3320.2,299.5,8.9,13.3,88.6,188.6,3020.7,957,1855.9,207.8
Georgia,GA,4357000,1764.3,201.4,11.3,13.4,29.8,147,1562.9,487.4,882,193.5
Hawaii,HI,711000,3252.3,69.1,3.2,0.8,18.7,46.3,3183.3,980.9,1839.4,363
Idaho,ID,692000,1982.5,71.2,2,5.5,10.1,53.6,1911.3,358.8,1450.1,102.3
Illinois,IL,10644000,2545.9,322.7,5.2,16,164.7,136.7,2223.2,550.2,1293.1,379.9
Indiana,IN,4885000,2170.5,137.1,3.5,10.6,57.4,65.6,2033.4,556.4,1230.6,246.5
Iowa,IA,2760000,1397.6,38.7,1.3,4.5,12.8,20.1,1358.9,304.3,950,104.7
Kansas,KS,2234000,1990.2,107.1,2.7,9.1,24,71.2,1883.2,467.5,1293,122.7
Kentucky,KY,3179000,1589.7,108.9,5.3,6.6,36.7,60.4,1480.8,444.8,884.3,151.7
Louisiana,LA,3534000,1771.3,203.1,8.1,11.1,51.3,132.6,1568.1,452.3,913.3,202.5
Maine,ME,993000,1416.1,44,2.1,4.3,4,33.5,1372.1,404.9,873.2,94
Maryland,MD,3519000,2759.4,285.1,6.7,13.9,82.9,181.5,2474.3,638.6,1529.7,306
Massachusetts,MA,5348000,2121.4,98.5,2.4,5.4,40,50.7,2022.9,554.5,934.9,533.5
Michigan,MI,8218000,3318.9,297.6,4.6,24,132.1,137,3021.3,867.5,1830.3,323.6
Minnesota,MN,3554000,2011.4,86.5,1.4,5.2,40.3,39.5,1924.9,530.5,1192.8,201.6
Mississippi,MS,2321000,977.2,170.1,8.9,6.9,14.4,139.9,807.1,285.5,444.2,77.3
Missouri,MO,4497000,2912.3,235.4,6.7,18.1,93.3,117.4,2676.8,763,1651.7,262.1
Montana,MT,706000,2150.3,72.8,1.7,7.8,15.9,47.5,2077.5,452.8,1426.6,198
Nebraska,NE,1477000,1831.8,57.7,2.4,5.1,21.9,28.2,1774.1,384.8,1226.5,162.8
Nevada,NV,440000,3754.1,216.6,8.4,15.5,97.5,95.2,3537.5,878,2222.5,437
New Hampshire,NH,669000,1051.7,23.3,2.7,2.1,6.9,11.7,1028.4,316.4,624.2,87.7
New Jersey,NJ,6774000,2046.6,153.9,3.2,8.9,55.4,86.3,1892.7,621.7,976.9,294.1
New Mexico,NM,1029000,2859.7,198.9,6.3,13.8,43.6,135.2,2660.7,735,1699.8,225.9
New York,NY,18073000,3065.6,325.4,4.6,12.8,155.9,152,2740.3,1015,1401.8,323.4
North Carolina,NC,4914000,1568.4,259.6,8.3,9.1,23,219.1,1308.9,409.3,779.6,120
North Dakota,ND,652000,1066.3,34.2,0.9,5.1,4.6,23.6,1032.1,206.7,748.5,76.8
Ohio,OH,10245000,1946.1,124.8,3.6,8.9,51.6,60.7,1821.2,470.5,1160.8,189.9
Oklahoma,OK,2482000,2019.9,134.5,4.4,11.1,38.6,80.5,1885.4,555.4,1137.3,192.7
Oregon,OR,1899000,2758.1,120.6,3.4,11.9,46,59.3,2637.5,636.1,1798.9,202.5
Pennsylvania,PA,11520000,1488.1,142.2,3.6,10.3,52.7,75.7,1345.9,417.3,707.3,221.4
Rhode Island,RI,920000,2250.5,78.5,2.1,3.8,19,53.6,2172.1,596.3,1255.9,319.9
South Carolina,SC,2542000,1859,177.2,9.6,11.2,21.5,134.9,1681.8,526.1,1001.2,154.5
South Dakota,SD,703000,1275.7,59,1.6,6.8,9.2,41.4,1216.6,264.3,878.7,73.7
Tennessee,TN,3845000,1513,138.7,8,11.1,28.6,91.1,1374.3,522.9,684.7,166.7
Texas,TX,10551000,2583.9,199.3,7.5,10.7,42.7,138.3,2384.6,678.9,1514.2,191.4
Utah,UT,990000,2913.6,89.5,1.5,8.9,23.1,56,2824.1,606.9,2008.8,208.5
Vermont,VT,397000,980.4,22.4,0.5,6.5,4.5,10.8,957.9,323.9,536,98
Virginia,VA,4457000,2199.3,227.6,8.2,12,39.9,167.5,1971.6,548.7,1250.9,172.1
Washington,WA,2990000,2721.3,103,2.2,10.2,30.3,60.4,2618.3,611.1,1815.7,191.5
West Virginia,WV,1812000,819.4,78,4,4.2,14.4,55.4,741.4,253.9,418.2,69.4
Wisconsin,WI,4144000,1588.9,46.1,1.5,3.6,11.5,29.5,1542.8,286.5,1102.8,153.5
Wyoming,WY,340000,1972.6,75.6,2.9,11.5,17.9,43.2,1897.1,363.2,1397.6,136.2
