state,stateAbbr,population,index,violent,murder,rape,robbery,aggrate,property,burglary,larceny,gta
Alabama,AL,3861466,4933.6,448.5,13.2,30,132.1,273.2,4485.1,1526.7,2642.2,316.2
Alaska,AK,440142,5645.7,436,8.9,56.8,81.8,288.5,5209.7,1259.8,3388.9,561
Arizona,AZ,2715357,8170.8,650.9,10.3,45.2,193.6,401.8,7519.9,2155.4,4891.2,473.3
Arkansas,AR,2284037,3811.1,335.2,9.2,26.7,80.9,218.4,3475.9,1119,2169.8,187.1
California,CA,23532680,7833.1,893.6,14.5,58.2,384.2,436.7,6939.5,2316.5,3880,742.9
Colorado,CO,2878407,7333.5,528.6,6.9,52.5,160.1,309.2,6804.9,2030.8,4325.8,448.3
Connecticut,CT,3095224,5881.7,412.5,4.7,21.6,218,168.1,5469.2,1700.6,3089.6,678.9
Delaware,DE,594779,6776.6,474.8,6.9,24.2,137,306.7,6301.8,1630.5,4216.2,455.1
District Of Columbia,DC,635233,10022.8,2010.6,31.5,69.1,1400.6,509.4,8012.2,2559.7,4890.8,561.7
Florida,FL,9567112,8402,983.5,14.5,56.9,355.5,556.6,7418.4,2506.8,4434.2,477.5
Georgia,GA,5400851,5603.7,555.3,13.8,44.3,197.6,299.7,5048.3,1699.2,2976.6,372.4
Hawaii,HI,964680,7482.3,299.5,8.7,34.7,190.2,65.8,7182.8,1847.5,4723.2,612.1
Idaho,ID,943629,4782.2,313.4,3.1,22.4,46.8,241.1,4468.8,1238.9,2993,236.9
Illinois,IL,11355062,6269.1,808,10.6,34.8,367,395.6,5461.1,1559.6,3252.5,649
Indiana,IN,5461103,4930.4,377.8,8.9,33.1,141.4,194.5,4552.5,1313.3,2807.1,432.2
Iowa,IA,2907804,4746.7,200.4,2.2,14.3,54.9,129,4546.4,1079.5,3219.1,247.8
Kansas,KS,2354783,5378.8,389.3,6.9,31.5,113.1,237.8,4989.5,1521.4,3196.4,271.7
Kentucky,KY,3641479,3433.7,266.7,8.8,19.2,95.2,143.5,3167.1,1040.8,1875.5,250.7
Louisiana,LA,4199542,5453.7,665,15.7,44.5,197,407.8,4788.8,1523.9,2888.4,376.5
Maine,ME,1123670,4367.6,193.4,2.8,12.9,30.8,146.8,4174.2,1182.8,2772.3,219.1
Maryland,MD,4192211,6630.1,852.4,9.5,40.1,392.7,410.1,5777.7,1698,3629.2,450.5
Massachusetts,MA,5728288,6079.1,601.3,4.1,27.3,235.5,334.4,5477.8,1740.4,2685.8,1051.6
Michigan,MI,9228128,6675.9,639.5,10.2,46.6,244,338.6,6036.4,1741.3,3710.2,584.9
